研报名称,机构名称,发布时间,行业,研报地址
中药行业周报：基药目录调整或将提速，中药有望迎来院端放量,湘财证券,2023-05-22,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587047390
中药2022/2023Q1业绩分析：2023Q1业绩表现突出，有望由政策驱动转向政策业绩双驱动,湘财证券,2023-05-19,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305191586964203
2023年医药行业中期投资策略：守正创新，行稳致远,太平洋,2023-05-17,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586715085
医药行业政策跟踪：基药或调整，中药新催化,浙商证券,2023-05-17,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586715078
中药行业周报2023年5月第二周：又提效，看持续,浙商证券,2023-05-16,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586673354
中药板块2022&2023Q1总结：业绩+政策共振，行业进入新一轮景气上行周期,中泰证券,2023-05-15,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633475
医药生物行业周报：国企改革持续推进，中药国企迎来新的发展机遇,开源证券,2023-05-15,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633320
中药行业周报：受业绩和政策催化，中药板块再次领涨,湘财证券,2023-05-10,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441964
中药板块投资新主线：资源品中药提价驱动再现,浙商证券,2023-05-09,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388371
中药行业周报2023年5月第一周：中药资源品跟踪：品牌中药，量价齐升,浙商证券,2023-05-08,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586359636
2023年中药分析框架思考：新生,浙商证券,2023-05-06,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586331366
医药生物5月月报&年报一季报总结：关注中药、诊疗复苏及创新主线,国联证券,2023-05-04,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586219082
中药行业周报：中医药利好政策再出台，有望提升居民中医药素养水平,湘财证券,2023-04-26,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585862298
医药生物行业周报：中医药新政再出台，关注相关机会,东海证券,2023-04-24,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585740182
医药行业重大政策点评：《“十四五”中医药文化弘扬工程实施方案》发布，中医药文化建设有望不断加强,国信证券,2023-04-24,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731704
中药行业周报：中药新药可成增长驱动？,浙商证券,2023-04-23,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585721430
医药行业周报：坚定看好医药两大方向,西南证券,2023-04-23,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585720883
中药行业周报：Q4“翘尾”后成长性如何？,浙商证券,2023-04-17,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585504849
2023年中国兽用中药及中草药行业词条报告,头豹研究院,2023-04-14,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304141585476564
中药行业周报：中成药集采规则落地，业绩逐步兑现推升板块估值修复,湘财证券,2023-04-06,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304061585179142
医药板块4月月报：中药、AI风起；同时把握医药修复机会,中泰证券,2023-04-04,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304041585061805
医药行业2023年4月月报：中药，破局,浙商证券,2023-04-03,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304031585027063
医药行业周报：重申中医药产业投资逻辑,华金证券,2023-04-03,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304021585025749
《全国中成药采购联盟集中采购文件（征求意见稿）》政策点评：集采规则温和，龙头优势突出,中泰证券,2023-03-30,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303301584687602
医药行业覆盖标的2023年Q1业绩前瞻：业绩呈现复苏态势,西南证券,2023-03-27,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303271584567270
中药专题报告十五：拾级而上，医保和基药调整下的中药投资机会,华安证券,2023-03-27,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303271584567188
医药生物周跟踪：中药再迎催化，强调量增周期,浙商证券,2023-03-27,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303271584565889
医药生物行业跟踪周报：中药创新高涨，CRO受益、重点推荐百诚医药等,东吴证券,2023-03-26,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303261584564298
中药行业周报：消费复苏、政策及业绩预期带来中药关注度进一步提升,湘财证券,2023-03-24,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303241584526428
医药生物周跟踪：中药：迎来一轮量增周期,浙商证券,2023-03-21,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303211584439743
中药行业周报：继续关注政策利好和流感治疗带来的行业机会,湘财证券,2023-03-15,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303151584275523
2022年中国专精特新系列研究报告：中药行业 ――守旧创新迎发展,头豹研究院,2023-03-08,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303081584128118
中药行业周报：关注甲流病例暴发带来的感冒类中药投资机会,湘财证券,2023-03-08,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303081584118305
医药生物行业月度报告：中医药支持政策频出，零售药店纳入门诊统筹,财信证券,2023-03-06,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303061584070064
医药生物行业周报：《中医药振兴发展重大工程实施方案》出台,东莞证券,2023-03-06,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303061584059652
中药行业事件点评：国务院新政再出台，行业长期趋势明确,德邦证券,2023-03-02,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303021583954496
中药行业事件点评：中医药再出重磅政策，持续看好行业长期发展,国海证券,2023-03-02,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303021583946358
《中医药振兴发展重大工程实施方案》政策点评：政策进一步深化，中医药行业高质量发展提速,中泰证券,2023-03-01,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303011583908333
医药行业事件点评：国务院中药重磅政策再落地，中药行业利好不断,民生证券,2023-03-01,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303011583908327
医疗行业行业研究：《中医药振兴发展重大工程实施方案》发布，持续看好中医药行业发展,国金证券,2023-03-01,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303011583908323
医药生物行业点评报告：国务院再发中医药支持政策，激励中药行业稳定快速发展,东吴证券,2023-03-01,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303011583907488
中药行业重点政策跟踪：中药发新政，迎来新周期,浙商证券,2023-03-01,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303011583900283
中药Ⅱ：中医药振兴发展重大工程实施方案发布，政策进一步深化落地，持续把握中医药投资主线,华安证券,2023-02-28,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302281583875879
中药行业周报：疫后需求进一步释放，中药板块表现居前,湘财证券,2023-02-24,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302241583689780
2022年中医药高质量发展研究短报告,头豹研究院,2023-02-21,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302211583415355
中医药行业专题十四：中药创新药投资机会再梳理，政策推进迎来发展新机遇,华安证券,2023-02-20,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302201583393250
医药生物行业周度跟踪：政策支持下，中药/药店领涨,浙商证券,2023-02-20,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302201583380862
中药行业周报：《中药注册管理专门规定》发布，中药新药创新路径更加清晰,湘财证券,2023-02-15,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302151583186357
中药配方颗粒行业深度报告：“后试点”时代，政策红利多维度助推配方颗粒行业扩容，参与者强者恒强,万联证券,2023-02-08,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302081582898467
中药行业周报：中药配方颗粒国标推进加速，需求端与支付端共振有望带来放量,湘财证券,2023-02-08,中药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302081582897307
