研报名称,机构名称,发布时间,行业,研报地址
叉车行业专题报告：电动化、国际化双轮驱动，叉车行业有望迎来新一轮景气周期,财通证券,2023-03-24 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303241584528008
交通运输行业周报：四季度成品油运或将继续保持强势，多重利好航空复苏趋势增强,中银证券,2022-11-07 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211071580010554
交运行业周报：疫情防控不放松，需求复苏要耐心,中泰证券,2022-11-07 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211071580007525
交运行业周报：国际航班数量大增，邮政运输平稳运行,西南证券,2022-11-01 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211011579702919
交运行业周报：国际航线回暖，静待航空复苏,西南证券,2022-10-25 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210251579431553
交运行业周报：复苏预期受冲击，布局良机再出现,中泰证券,2022-10-17 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210171579204284
交通运输行业周报（10月第2周）：海航基础摘帽，达美航空22Q3营收再创新高,浙商证券,2022-10-17 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210171579203880
交通运输行业周聚焦：十一假期出行和快递物流数据表现如何,东方证券,2022-10-10 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210101579026416
交通运输行业周报：OPEC年底减产油运影响预计有限，国庆期间民航客运低位震荡,中银证券,2022-10-10 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210101579026294
交通运输行业周报：VLCC-TD3C运费时隔两年半首次突破W100，香港检疫政策调整为“0+3”模式,中银证券,2022-09-26 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202209261578668919
交运行业周报：十一黄金周有望带动航空出行需求复苏,中泰证券,2022-09-25 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202209251578658057
通运输行业周报（9月第4周）：香港入境无需酒店隔离；厦航订购40架空客飞机,浙商证券,2022-09-25 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202209251578656012
中国航空公司：8月吉祥航空环比改善明显，关注航空后疫情时代投资机会,海通国际,2022-09-20 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202209201578529946
交运行业周报：油运迎上行周期，航空静待业绩恢复,西南证券,2022-09-20 00:00:00.000,交运设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202209201578525583
