研报名称,机构名称,发布时间,行业,研报地址
上市险企一季报综述：资负两端共振，业绩强劲反弹,南京证券,2023-05-24,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305241587125451
保险23Q1综述：负债端拐点确认，人力“量稳质升”提供增长支撑,中泰证券,2023-05-24,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305241587125424
中国财产险行业展望,中诚信国际,2023-05-22,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587037516
保险Ⅱ2023年4月保费点评：寿险复苏延续，产险增速回落,浙商证券,2023-05-18,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586741196
保险债权投资计划分类登记新规发布，简政放权与风险防范并重,中诚信国际,2023-05-18,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586741188
上市保险公司4月保费收入数据点评：负债端Q2迎多重短期利好，高景气度有望延续,开源证券,2023-05-18,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586736549
上市险企4月保费点评：寿险续期保费拉低总保费增长，但预计NBV高增；非车险业务带来财险保费分化,财通证券,2023-05-16,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586693567
重视保险股配置机会：负债端短期弹性及中长期复苏逻辑兼具，资产端受益于中特估行情持续，“金特估”背景下有望迎来戴维斯双击！,财通证券,2023-05-16,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586678992
上市险企4月保费数据点评：寿险炒停加速拐点到来，关注队伍收入和信心恢复,东吴证券,2023-05-16,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586678648
主要上市险企4月保费点评：保费数据逐步验证，高景气表现推动资负共振,信达证券,2023-05-15,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586664328
非银：中信证券上线保险代销业务，长期有望洗牌既有格局,太平洋,2023-05-15,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633861
保险行业投资策略：供需同频共振行业处于相对底部位置，市场回暖推动利润弹性释放,天风证券,2023-05-15,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625230
非银金融行业周报：保险负债端复苏仍有预期差，券商小荷刚露尖尖角,信达证券,2023-05-14,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623693
证券行业2022年报&2023年一季报综述：业绩拐点确定，看好细分龙头与“中特估”行情下的国资券商,中邮证券,2023-05-11,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586496432
保险行业1Q23季报综述：队伍量稳谋质增，资负共振迎双击,东方证券,2023-05-10,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441976
保险2023一季报综述：资负两端高弹性修复，寿险行业有望迎来趋势性好转，驱动估值中枢提升,财通证券,2023-05-10,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586437416
保险：关注负债端的持续改善-FYP与NBVM共振，NBV拐点或已出现,山西证券,2023-05-09,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586409467
保险资产管理业创新型产品1季度观察与展望：业务增速有所放缓、产品更加多元，房地产和基础设施领域主基调不变,中诚信国际,2023-05-09,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388373
非银行金融行业跟踪：“中特估”行情中，建议继续关注高股息低估值的保险板块,东兴证券,2023-05-09,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388309
行业概览_2023年中国宠物保险行业专题报告：“毛孩子医保”一片蓝海（摘要版）,头豹研究院,2023-05-08,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586379069
