研报名称,机构名称,发布时间,行业,研报地址
电力设备行业周报：碳酸锂价格回升，锂电回收产业景气度修复,华安证券,2023-05-14 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586624338
社会服务行业周报：港澳游“全国通办”即将回归，出入境游修复仍需时日,中银证券,2023-05-14 00:00:00.000,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586624251
国内晶圆厂扩产带动设备需求，PaLM2助力边缘AI应用提速,安信证券,2023-05-14 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623955
新消费周观点：Q2市场更加关注业绩，关注高景气度消费赛道投资机会,信达证券,2023-05-14 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623793
基础化工行业周报：国内α-烯烃加速扩产，PTA、MDI、PET盈利改善,华安证券,2023-05-14 00:00:00.000,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623789
非银金融行业跟踪周报：“中特估”行情持续活跃，金融板块配置价值凸显,东吴证券,2023-05-14 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623741
煤炭开采行业周报：重点关注煤矿重大隐患专项整治或阶段性影响地方煤炭产量,信达证券,2023-05-14 00:00:00.000,煤炭行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623709
非银金融行业周报：保险负债端复苏仍有预期差，券商小荷刚露尖尖角,信达证券,2023-05-14 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623693
非银金融周报：板块政策预期向好，有望持续受益“中特估”,国联证券,2023-05-14 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623583
农林牧渔行业周报：生猪养殖股配置正当时，全球小麦玉米供需紧平衡,华安证券,2023-05-14 00:00:00.000,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586622128
化工行业周报：环氧丙烷价格上涨，纯MDI止跌反弹,中银证券,2023-05-14 00:00:00.000,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586622028
煤炭行业周报：季节性需求淡季，煤价短期承压,安信证券,2023-05-14 00:00:00.000,煤炭行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586622027
