研报名称,机构名称,发布时间,行业,研报地址
农林牧渔行业周报：厄尔尼诺发生概率上调，关注天气对全球种植业影响,民生证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586638045
农林牧渔行业周报：猪价继续磨底，把握低估值配置机会,浙商证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586638025
农林牧渔行业研究：4月上市生猪企业出栏分化，生猪养殖持续亏损,国金证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586637901
农林牧渔2023年中期农业投资策略—把握养殖景气变化，紧跟种业未来成长,太平洋,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586635765
农业周观点：4月猪企延续扩张，关注核心优势企业,中航证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633601
农业行业月报：4月生猪销售情况跟踪-销售价格下降，出栏环比增加,东方证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633522
农林牧渔行业周报：猪价及屠宰量延续回落态势，持续亏损或致产能缓慢去化,开源证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633333
农林牧渔行业周报第18期：生猪价格继续回调，前期产能去化影响有望逐步体现,华西证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632540
农林牧渔行业周报：猪价持续弱势 关注估值低位配置机会,东莞证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632384
农林牧渔行业月报：养殖板块短期承压，周期拐点渐行渐近,中原证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625324
农林牧渔2023年第19周周报：关注变化，重视猪价磨底带来的板块机会！,天风证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625239
农林牧渔行业点评报告：4月生猪供大于求态势延续，养殖亏损持续损耗养户现金流,开源证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625169
农林牧渔行业点评报告：4月白羽鸡价环比涨幅放缓，黄羽鸡价延续低位震荡,开源证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625168
种业Q1业绩总结与思考：周期驱动或边际减弱，技术领先种企有望随转基因落地进入黄金成长期,国信证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625105
农林牧渔行业2022年报及2023一季报总结：养殖报表逐季恶化，周期反转时点临近,国信证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625101
4月家禽养殖销售跟踪：白鸡苗价下跌，鸡肉价格坚挺,东方证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586624995
农业2023年第20周周报：特种水产价格抬头,东方证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586624994
农业重点数据跟踪周报：生猪供需博弈持续，白鸡价格延续下行,财通证券,2023-05-15,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586624983
农林牧渔行业周报：生猪养殖股配置正当时，全球小麦玉米供需紧平衡,华安证券,2023-05-14,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586622128
农业行业周报：以“亏损期+低PB”策略逢低布局经营稳健的养殖股,山西证券,2023-05-14,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586620150
农林牧渔行业周报：产能去化逻辑加强，大豆单产提升部署实施,国联证券,2023-05-14,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586619775
生猪养殖行业可转债情况梳理：产能持续深度去化，低估值铸就安全边界,中邮证券,2023-05-14,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305131586600647
农林牧渔行业2022年报及2023年一季报业绩综述：细分板块分化布局景气周期,东莞证券,2023-05-12,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586534971
农林牧渔：2022&2023Q1业绩总结和展望-以“亏损期+低PB”策略逢低布局经营稳健的养殖股,山西证券,2023-05-10,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586450363
农林牧渔2022&2023Q1业绩总结和展望：以“亏损期+低PB”策略逢低布局经营稳健的养殖股,山西证券,2023-05-10,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586443381
农林牧渔行业2023年中期投资策略：聚焦养殖周期配置，布局动保扩容机遇,开源证券,2023-05-10,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586437407
农林牧渔2022年报及2023年一季报总结：养殖静待景气上行，生物育种稳步推进,财通证券,2023-05-10,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586433035
2023年农业中期投资策略：生猪养殖业步入去产能阶段，估值先于基本面调整到位,华安证券,2023-05-09,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586410584
农林牧渔行业周观点(2023年第17-18周)：猪价持续弱势筑底，持续推荐养殖及后周期,东兴证券,2023-05-09,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388310
农林牧渔行业周报：养殖周期渐行渐近,国海证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586363220
农林牧渔2023年5月投资策略：生猪板块蓄力反转，左侧优选高质量成长标的,国信证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358549
农林牧渔行业22年&23Q1总结：养殖有望好转，种业景气依旧,国金证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358461
农业重点数据跟踪周报：供需博弈猪价震荡，行业补栏仍然谨慎,财通证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586354937
农林牧渔行业专题：寒冬已至，继续磨底,浙商证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586354933
农林牧渔行业研究：猪价持续低位震荡，行业亏损持续进行,国金证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586354905
农林牧渔行业周报：年内第二批中央冻猪肉储备收储工作即将启动,东莞证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352459
农林牧渔行业研究周报：2023年第18周周报：一季报披露完毕，农业板块有何亮点？,天风证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348639
农林牧渔行业周报：生猪短期或仍供大于求，低猪价持续消耗养户现金流,开源证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348608
农业2023年第19周周报：消费提振有限，猪价继续磨底,东方证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348500
农业周观点：Q1养殖同比改善，种植种业景气,中航证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348095
农林牧渔深度报告：生猪产能持续去化中，白羽肉禽高景气,中邮证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347112
农林牧渔行业周报第17期：节后价格回落，国家将启动猪肉收储,华西证券,2023-05-08,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586346960
农林牧渔行业周报：生猪出栏均重微增，种猪价格持续低迷,华安证券,2023-05-07,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586346703
农业行业周报：建议逢低布局经营稳健和低PB的养殖股,山西证券,2023-05-07,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586345603
农林牧渔行业周报：猪价持续低位震荡，主动去化逻辑加强,国联证券,2023-05-06,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586335318
农林牧渔行业周报：生猪养殖持续亏损， 关注产能去化进程,国金证券,2023-05-05,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290033
生猪养殖行业Q1业绩总结与思考：行业蓄力反转，左侧优选成长,国信证券,2023-05-05,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586289998
农林牧渔行业4月行业动态报告：4月猪价创年内新低，产能去化或持续,中国银河,2023-05-05,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586286890
农林牧渔行业研究周报：Q1公募基金加仓动保、种植、生猪养殖,申港证券,2023-05-04,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268258
农业2023年第18周周报：农林牧渔2022年报及2023一季报综述,东方证券,2023-05-04,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268224
农林牧渔行业点评报告：2022年养殖板块盈利恢复，种子板块延续景气,开源证券,2023-05-04,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267937
农林牧渔行业周报：2022年养殖板块盈利恢复，种子板块延续景气,开源证券,2023-05-04,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267885
农业重点数据跟踪周报：需求好转支撑猪价，行业补栏仍然谨慎,财通证券,2023-05-04,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267140
农林牧渔行业周报第16期：3月产能去化持续，假期提振猪价小幅回暖,华西证券,2023-05-04,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586217949
农林牧渔行业周报：生猪养殖业继续亏损，种猪补栏持续低迷,华安证券,2023-05-04,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586214412
农林牧渔行业周报：消费提振猪价有限，转基因编辑证书获批,国联证券,2023-05-04,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586214399
2022年中国养宠人群调研报告（摘要版）,头豹研究院,2023-04-28,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586057006
