研报名称,机构名称,发布时间,行业,研报地址
农林牧渔行业周报：端午猪价走弱，去化有望加速,浙商证券,2023-06-26,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591289591
农林牧渔行业周报：存栏积压致生猪出栏均重偏大，7-8月或现“价涨重降”局面,开源证券,2023-06-26,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591286064
农林牧渔2023年第25周周报：猪价未起，产能加速去化逻辑加强！推荐生猪板块！,天风证券,2023-06-26,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591285584
农业重点数据跟踪周报：消费支撑不足，养殖信心低迷，产能去化或持续,财通证券,2023-06-26,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591285558
农林牧渔行业周报：节后猪价回落,东莞证券,2023-06-26,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591285445
农业行业周报：以“亏损期+低PB”策略逢低布局经营稳健的养殖股,山西证券,2023-06-26,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591285166
农林牧渔行业报告：节后猪价再度回落，产能持续去化,中邮证券,2023-06-26,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591284553
农林牧渔农业周观点：海外非瘟苗迎进展，宠物618斩佳绩,中航证券,2023-06-25,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591284376
农林牧渔行业周报第24期：5月生猪产能继续回调，出栏增速有所放缓,华西证券,2023-06-25,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591280491
农林牧渔行业周报：端午前后猪价不涨反跌，6-7月生猪去产能有望延续,华安证券,2023-06-25,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591280274
农林牧渔行业周报：节日消费提振猪价有限，高温现象影响农作物价格,国联证券,2023-06-25,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591277562
6月USDA跟踪月报：6月USDA上调三大作物产量，持续关注厄尔尼诺,财通证券,2023-06-24,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306241591274660
农林牧渔：618宠物消费高增长，国产品牌茁壮成长中,天风证券,2023-06-21,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306211591145632
农林牧渔行业月报：饲料产量同环比双增，原料价格走强,中原证券,2023-06-21,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306211591144507
农林牧渔行业周观点（2023年第24周）：仔猪价格下行去化有望加速，先正达上市过会,东兴证券,2023-06-21,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306211591144483
农林牧渔行业周报：生猪产能持续去化,国海证券,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591072947
5月上市猪企经营数据跟踪：均价小幅下降，猪企出栏节奏有所恢复,山西证券,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591068966
农产品研究跟踪系列报告（70）：本周全国生猪均价环比上涨1.04%，仔猪均价环比下跌8.71%,国信证券,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591064277
农林牧渔行业报告：仔猪价格继续回落，关注生猪产能去化情况,中邮证券,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591062639
农林牧渔行业周报：先正达顺利过会，生猪产能持续去化,国金证券,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591062067
农林牧渔行业周报：去化加速逐步验证，珍惜板块估值底部,浙商证券,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591062005
2023农林牧渔行业中期策略：关注养殖产业链，布局于周期低谷期,中国银河,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591061781
农林牧渔行业周报：生猪价格仍显疲态，5月产能持续去化,民生证券,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591061200
农林牧渔行业周报：农化巨头先正达成功过会,东莞证券,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591058794
农林牧渔行业2023年半年度策略：莫道浮云终蔽日，总见云开雾散时,中原证券,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591058791
农林牧渔行业研究周报：短期猪价上涨难以延续,申港证券,2023-06-19,农牧饲渔,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591058718
