研报名称,机构名称,发布时间,行业,研报地址
化工行业深度报告：能源危机下的欧洲化工企业,信达证券,2023-05-22,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587037496
基础化工行业周报：化工品价格指数维持下行趋势,东莞证券,2023-05-22,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587037371
化工行业行业深度报告：能源危机下的欧洲化工企业,信达证券,2023-05-21,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305211587035764
基础化工行业周报：碳酸锂价格上涨，万华化学乙烯等装置检修,国海证券,2023-05-16,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586678950
新材料周报：各地邮政加快推进使用可降解塑料包装，聚乳酸有望充分受益,山西证券,2023-05-15,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586642287
基础化工行业深度报告：2022年化工业绩短期承压，2023年或将底部反弹,开源证券,2023-05-15,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633865
化工行业：4月顺差同比大幅提升，把握出口结构驱动,华福证券,2023-05-15,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633335
化工行业周报：商务部对日本、美国和欧盟进口氯丁橡胶继续征收反倾销税，荣盛石化子公司聚酯薄膜扩建项目顺利投产,德邦证券,2023-05-15,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632305
化工行业周报：坚定看好氟化工长期发展逻辑，积极把握回调后机遇,开源证券,2023-05-15,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625164
基础化工行业周报：电子产品朝高集成化发展，导热材料需求空间广阔,开源证券,2023-05-15,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625163
基础化工行业周报：本周锂电化学品涨幅居前,东莞证券,2023-05-15,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625007
聚氨酯海外专题：23Q1量价同比减，国内出口增，二季度指引环比增,安信证券,2023-05-15,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623976
化工行业周报：节后轮胎开工率恢复较好，双星柬埔寨工厂奠基,信达证券,2023-05-15,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623765
化工行业2023年周报：碳酸锂、纯MDI持续涨价，国际油价震荡下行,国联证券,2023-05-14,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586619358
基础化工行业2022年报及2023一季报总结：成本压力渐轻，关注需求复苏,东海证券,2023-05-10,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441768
化工行业2023年中期投资策略：景气复苏初现，新材料大有可为,华安证券,2023-05-09,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586410931
化工行业22年及23年一季度业绩综述：行业整体估值处于低位，轮胎及烧碱行业业绩可期,东亚前海证券,2023-05-09,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586400645
光伏胶膜2022年年报及2023Q1业绩综述：需求保持高增，盈利有望修复,东亚前海证券,2023-05-09,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586393736
万华化学基本面周度动态跟踪：光学材料MS树脂中试完成，本周MDI价格维持稳定,华安证券,2023-05-08,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355689
化学原料新材料周报：新材料板块调整，《生物经济规划》会议强调落实产业应用,山西证券,2023-05-08,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355486
化工行业：成本降，需求升，回购提振顺周期布局信心,华福证券,2023-05-08,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352472
化工新材料行业周报：一季度全球半导体销售额同比下降超20%，偏光片龙头企业拟投建LCD用光学膜与高分子聚合物项目,德邦证券,2023-05-08,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352450
化工行业周报：五年内全球PVC产能将激增，50万吨/年DMC一期工程EPCM总承包合同签约,德邦证券,2023-05-05,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268102
万华化学基本面周度动态跟踪：MDI5月挂牌价涨跌波动，下游需求缓慢跟进,华安证券,2023-05-04,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586269598
基础化工行业研究周报：中国石油学会成立碳中和专业委员会，BDO价格上涨、碳酸锂价格止跌回暖,天风证券,2023-05-04,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268050
化工行业：中央政治局会议后，关注顺周期及自主可控材料,华福证券,2023-05-04,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267967
化工月度策略报告：看好中石化、电子特气、氟化液、膳食纤维方向,国信证券,2023-05-04,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267957
基础化工行业周报：碳酸锂、BDO价格上行，万华化学收购烟台巨力47.81%股权,国海证券,2023-05-04,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586226151
卫星化学及烯烃行业周度动态跟踪,华安证券,2023-05-04,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586220305
合成生物学周报：16部门推进《生物经济规划》实施，生物法制备阿洛酮糖取得新进展,华安证券,2023-05-03,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586219872
化工行业2023年5月投资策略：看好电子特气、中国石化、氟化液、膳食纤维的投资方向,国信证券,2023-04-28,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586038888
化工：丁苯橡胶价格大幅拉涨，裂解C5市场持续维稳,德邦证券,2023-04-26,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585855743
万华化学基本面周度动态跟踪：万华新产能持续扩增，MDI出口保持高增长,华安证券,2023-04-25,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585837599
中泰化工周度观点230422：宁东泰和BDO、PTMEG项目报批，氨纶一体化布局加速,中泰证券,2023-04-25,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585785495
新材料周报：AI有望提升化工新材料研发效率,山西证券,2023-04-24,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732757
化工&新材料行业周报：宁德时代发布凝聚态电池，钠离子电池应用加速,太平洋,2023-04-24,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731725
基础化工行业周报：工信部将进一步释放潜在消费需求，着力稳住汽车等大宗消费,东莞证券,2023-04-24,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729559
化工行业周报：新宙邦拟3600万元参设合资公司，共同经营电子封装材料市场，晨光新材2000立方气凝胶项目即将投产,德邦证券,2023-04-24,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729526
化工行业周报：发改委表示今年春耕期间化肥供应较为充足，工信部对17个行业企业实现节能监察全覆盖,德邦证券,2023-04-24,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729525
化工行业2023年周报：MDI、PVC价格回暖，电子材料行情延续,国联证券,2023-04-23,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585719981
化工行业周报：2023年第一季度中国轮胎产量、出口量大幅增长,信达证券,2023-04-23,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585719980
基础化工：AI算力提升带动液冷行业需求快速增长,上海证券,2023-04-23,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718736
化工行业2023年二季度投资策略：从不确定周期迷雾中探寻确定的光,上海证券,2023-04-23,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718735
化工：苯乙烯价格低开后略有反弹，国内EVA石化出厂价格维稳,德邦证券,2023-04-23,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718677
化工：POE投产进程加速、国产替代指日可待,东亚前海证券,2023-04-23,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304221585716454
氢能行业深度报告之三：质子交换膜PEM市场空间广阔，国产替代进行时,国海证券,2023-04-19,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585570151
基础化工行业专题研究：化工行业运行指标跟踪-2023年1-2月数据,天风证券,2023-04-19,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585568646
化工：国内丙烯市场价格宽幅上涨，涤纶短纤市场偏暖运行,德邦证券,2023-04-18,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585530415
新材料周报：锂电化学品领涨，消费复苏背景下PLA需求有望修复,山西证券,2023-04-17,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585493281
基础化工行业研究周报：石化联合会发出建设石化强国行动倡议，MMA、TDI价格上涨,天风证券,2023-04-17,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585492771
