研报名称,机构名称,发布时间,行业,研报地址
农药行业研究之总览篇：绿色发展加速产业整合，关注优质原药企业升级机遇,招商银行,2023-05-08,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348692
化工行业周报：国际油价震荡下行，TDI价格持续上涨,中银证券,2023-04-23,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585728923
钾肥行业快报：印度大合同价落地，钾肥下跌空间有限,安信证券,2023-04-05,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304051585167195
基础化工行业周报：发改委等通知部署春耕化肥保供稳价工作,东莞证券,2023-02-13,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302131583078261
化工行业2023年度投资策略报告：新材料国产化加速骏业日新，静待需求修复,万联证券,2023-01-18,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301181582107541
基础化工行业研究周报：农业农村部发布《到2025年化学农药减量化行动方案》，聚合MDI、橡胶价格上涨,天风证券,2022-12-12,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202212121581011456
化工行业周报：化纤、磷肥价差上涨，看好内需改善下龙头盈利修复,中国银河,2022-12-12,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202212121581009482
农用化工行业研究：供销社报告二：农资环节呈现整合趋势,国金证券,2022-11-28,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211281580629626
基础化工行业周报：化肥冬储需求释放，本周氮肥、磷肥板块表现较好,东莞证券,2022-11-28,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211281580614555
化工行业周观点：磷矿石价格仍有走高空间，万华化学上调7月纯MDI报价,万联证券,2022-07-04,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202207041575779427
化工周度观点22W23：关注化工安全生产问题，磷肥5月出口数据符合预期,中泰证券,2022-06-20,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202206201573445232
基础化工行业月报：化工品价格整体回暖，关注煤化工、农药和磷化工行业,中原证券,2022-06-10,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202206101571260762
化工行业点评报告：东亚前海：重视磷化工涨价行情,东亚前海证券,2022-06-08,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202206081570755714
基础化工深度报告：磷肥为盾磷铁为矛，磷化工布局正当时,华安证券,2022-06-07,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202206071570542451
化工行业周观点：盐湖股份上调6月氯化钾报价，磷矿石价格持续走高突破900元关口,万联证券,2022-06-06,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202206061570367228
"基础化工行业周报：油价上涨，醋酸、磷酸二铵、2,4D、百草枯等产品价格上涨",安信证券,2022-05-30,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202205291568694290
基础化工行业深度报告：当前怎么看农化板块？,东方证券,2022-05-27,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202205271568162246
化工行业周观点：供需紧俏难缓解，钾肥价格继续高筑,万联证券,2022-05-23,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202205231567399717
化工：氯化钾、氯化铵价格持续上涨，化肥出口低点已过,海通国际,2022-05-20,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202205201566754073
肥料行业深度报告：化肥迎来景气大周期,国海证券,2022-05-16,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202205161565874688
化肥行业深度报告：化肥行业景气延续，氮磷钾肥面面观,中泰证券,2022-05-09,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202205091564490733
农用化工行业动态分析：粮价景气有望长期维持，化肥行业将持续供不应求,安信证券,2022-05-09,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202205091564459568
磷肥产业链分析框架,国信证券,2022-04-24,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204241561327880
磷肥：法检速度加快，Q2出口有望逐步回暖,安信证券,2022-04-24,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204231561079820
化工行业周观点：磷肥维持高位运行，草铵膦止跌上行,万联证券,2022-04-18,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204181560036928
钾肥行业分析框架,国信证券,2022-04-18,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204181560030346
钾肥行业2021年年报前瞻与2022年展望：周期与成长共舞、供给冲击下的钾肥投资机会,东亚前海证券,2022-04-11,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204111558627633
化工行业周报：政策叠加供应扰动 化肥景气格局延续,申港证券,2022-04-11,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204111558572201
基础化工行业研究：化肥板块表现强势，看好板块布局机会,国金证券,2022-04-11,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204111558549216
化工行业周观点：磷肥一季度价格继续走高，草铵膦小幅回升,万联证券,2022-04-06,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204061557646585
化工行业周观点：原油价格继续震荡上涨，钾肥维持高位运行,万联证券,2022-03-28,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202203281555592288
化肥行业深度报告：国际粮食价格维持高位，种植面积增长支撑化肥需求,东莞证券,2022-03-22,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202203221554199800
化工行业点评报告：东亚前海：加拿大铁路罢工、钾肥供给缺口加深,东亚前海证券,2022-03-22,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202203221554154656
化工行业点评报告：俄乌战后系列（一）：钾肥紧缺状态大幅延长,东亚前海证券,2022-03-21,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202203211554011456
化工行业点评报告：SWIFT制裁下，俄罗斯钾肥出口风险加大,东亚前海证券,2022-03-01,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202203011549929635
东亚前海化工：供需错配、钾肥行情东风再起,东亚前海证券,2022-02-22,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202202221548556370
东亚前海化工周报：“十四五”助力农药景气、天然气价格高企,东亚前海证券,2022-02-22,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202202221548510073
化工行业周观点：2022年度钾肥大合同价格敲定，云天化等多方联合布局新能源材料,万联证券,2022-02-21,化肥行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202202211548327684
