研报名称,机构名称,发布时间,行业,研报地址
传媒行业2022年报&2023Q1季报综述：至暗时刻已过，AI赋能正当时,东亚前海证券,2023-05-14 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586621878
传媒：AIGC深度报告-颠覆人机交互模式，内容生产进入新时代,中银证券,2023-05-14 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586620570
传媒互联网2022年报&2023Q1业绩总结：冬去春来，业绩释放在即,中国银河,2023-05-12 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526386
传媒互联网行业四月行业动态报告：4月票房大幅回升，板块持续回暖,中国银河,2023-05-12 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586524273
广告营销行业2022及1Q23总结：五一消费强劲行业复苏持续，AIGC技术应用加速,东方证券,2023-05-11 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586486730
互联网传媒行业周数据：2023W18周数据跟踪,上海证券,2023-05-11 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586479775
传媒行业深度：供需双改善，AI赋能游戏板块价值重估,财信证券,2023-05-10 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586447559
传媒行业周报（2023年第5月第2周）：五一档影片满足多样化需求，票房居中国影史同期第三,浙商证券,2023-05-10 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586444842
传媒行业深度报告：消费需求复苏可期，电影、剧集市场呈现回暖迹象,万联证券,2023-05-10 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586444562
传媒行业跟踪报告：五一档延续春节档复苏势头，双头部新片拉动票房,万联证券,2023-05-10 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586444561
传媒互联网：出版业绩稳中向上，教育数字化+IP版权驱动行业价值重估,中泰证券,2023-05-10 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441960
传媒图像篇专题（一）：开源模型高速迭代，StableDiffusion促进AI技术民主化,上海证券,2023-05-10 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586437403
传媒行业月报：4月板块继续领涨，图书出版板块或迎价值重估,中原证券,2023-05-09 00:00:00.000,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586405108
