研报名称,机构名称,发布时间,行业,研报地址
传媒行业周报：优选AI产品落地快及低PEG公司，关注电影复苏,开源证券,2023-06-12,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590852371
传媒互联网行业五月行业动态报：游戏行业规模持续增长，关注新游上线表现,中国银河,2023-06-12,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590852194
传媒行业点评：政策边际改善到文化繁荣发展，有望开启新一轮传媒牛市,天风证券,2023-06-12,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590851803
传媒互联网行业周报：智源开源“悟道3.0”发布；AI有望重塑电影内容制作,德邦证券,2023-06-12,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590851258
2023年5月传媒行业月度跟踪：5月行情进入回调期，AI终端化浪潮开启,浙商证券,2023-06-12,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590850098
AIGC系列研究：AIGC+数字人有望重构交互形态，从IP内容到平台迎来新机遇,国信证券,2023-06-12,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590850011
传媒行业周报系列2023年第23周：苹果MR头显发布，AI监管立法进程加速,华西证券,2023-06-12,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306111590849263
传媒行业专题：新IP×AIGC×NFT：交互大繁荣、内容新模式、变现新空间,安信证券,2023-06-11,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306111590847858
传媒新消费行业周报：传媒应用热度不减迎暑假档 文化强国是基石,华鑫证券,2023-06-11,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306111590847772
传媒互联网行业VR深度报告：硬件和内容良性循环，VR生态加速构建,中国银河,2023-06-08,文化传媒,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306081590596733
