研报名称,机构名称,发布时间,行业,研报地址
消费者服务行业周报：全国通办签注恢复，港澳游订单量持续增长,山西证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586642465
景区行业报告：复苏景气度超预期 基本面估值底部向上,国海证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586639411
社服周观点：AI+教育持续演绎，建议关注具备产品落地能力标的,民生证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586638077
22年度旅行社数据点评：国内组团游先行恢复，出入境管控政策逐步向好,中银证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633702
社会服务业行业周报：全球旅游已恢复至疫情前80%水平，米奥会展接入OpenAI服务,中国银河,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633472
社服零售行业周报：复苏+内容创新，景区迎发展新机遇,华西证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632565
社会服务行业·周观点：上海数交所发布《三年行动方案》，推动国家级数据交易所建设,中航证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632372
社会服务行业周报：茶饮/咖啡加速下沉渗透，出入境政策持续优化,开源证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632327
社会服务行业2022&1Q23业绩总结：冬去春来，复苏起航,海通国际,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625381
社服行业周报：“五一”酒店房价数据表现亮眼，出入境管理政策再获调整优化,上海证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625217
消费服务行业周报：关注出境游修复机会,东莞证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625019
社会服务行业周报：港澳游“全国通办”即将回归，出入境游修复仍需时日,中银证券,2023-05-14,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586624251
消费者服务行业2022年度及2023年一季度业绩综述：业绩复苏如期而至，基本面改善驱动α行情,东莞证券,2023-05-12,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526525
社会服务行业深度报告：春风已至，花开可期,中国银河,2023-05-11,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586496785
社服：五一出行消费强劲复苏，多项数据超疫前水平,首创证券,2023-05-11,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586484710
消费者服务2022年报&2023一季报综述：23Q1自然景区恢复居前，关注小长假、暑期旺季催化需求释放,山西证券,2023-05-10,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586455262
餐饮旅游板块财报总结暨5月投资策略：一季报开局良好，复苏进入验证期,国信证券,2023-05-10,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441979
酒店行业双周报：奢华酒店和经济型酒店恢复弹性领先,东吴证券,2023-05-09,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586403403
社服行业2023年中期投资策略：服务型消费复苏强劲，布局新商业模式下的投资机会,开源证券,2023-05-09,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586400469
免税&酒店年报及一季报总结：景气上行，看好Q2进一步反弹,浙商证券,2023-05-09,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388370
社会服务行业跟踪报告：“五一”旅游强劲复苏，旅游行业前景向好,万联证券,2023-05-09,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388348
2023年中国新式餐饮行业词条报告,头豹研究院,2023-05-08,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586379068
消费服务行业周报：五一旅游恢复至2019年水平，看好下半年旅游消费恢复,东莞证券,2023-05-08,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586361072
