研报名称,机构名称,发布时间,行业,研报地址
社服周观点：亚朵酒店23Q1调整后净利润1.6亿元，北京人力登陆资本市场谱写新篇章,民生证券,2023-05-22,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587047377
社会服务行业双周报（第57期）：海外酒旅龙头财报纷纷报喜，北京外企重组顺利落地,国信证券,2023-05-22,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587042965
社服零售行业周报：4月社零低基数下实现高增长，黄金珠宝增速领跑可选消费,华西证券,2023-05-22,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587039621
社服行业周报：餐饮市场强势复苏，暑期出行有望延续“五一”高热度,上海证券,2023-05-22,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587039533
社会服务行业投资策略周报：618活动将至，关注“百亿补贴”提振消费需求,财通证券,2023-05-22,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587039523
社服教育周报：可选消费等待持续性修复，重点观察618电商消费,平安证券,2023-05-22,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587038329
免税行业周报（5月第3周）：4月海南岛内免税店日均销售额1.3亿元，同比增长2.7倍,浙商证券,2023-05-22,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587037514
社会服务：新消费研究之怪兽充电：共享充电龙头，修复可期,平安证券,2023-05-22,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587037474
酒店行业双周报：中高端和头部酒店集团RevPAR韧性较强,东吴证券,2023-05-22,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305211587036077
中航社服行业周报：“一带一路”主题催化，利好CIPS和跨境电商,中航证券,2023-05-22,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305211587036056
社会服务行业周报：社零数据彰显消费延续弱复苏，出入境团队游进一步开放,中银证券,2023-05-21,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305211587036516
消费服务行业周报：出境游供给修复，携程暑期订单量已超2019年同期,东莞证券,2023-05-21,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305211587035743
社服行业周报：23Q1亚朵RevPAR恢复至疫情前118.3%,国联证券,2023-05-21,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305201587032245
社服行业22年报&23Q1业绩总结：厚积薄发，复苏开启,德邦证券,2023-05-18,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586736524
2023年社会服务行业中期策略：韶华不负春光美 聚焦景气新周期,太平洋,2023-05-17,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586715065
社会服务行业月报：4月及五一餐饮复苏趋势验证，看好龙头,东吴证券,2023-05-17,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586714518
社服零售行业2023年中期投资策略：服务类消费恢复弹性大，聚焦细分行业小龙头,华西证券,2023-05-17,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586710754
2023Q1星级饭店数据点评：23Q1酒旅市场全面转暖，入住率回升明显,中银证券,2023-05-16,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586677739
消费者服务行业周报：全国通办签注恢复，港澳游订单量持续增长,山西证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586642465
景区行业报告：复苏景气度超预期 基本面估值底部向上,国海证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586639411
社服周观点：AI+教育持续演绎，建议关注具备产品落地能力标的,民生证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586638077
22年度旅行社数据点评：国内组团游先行恢复，出入境管控政策逐步向好,中银证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633702
社会服务业行业周报：全球旅游已恢复至疫情前80%水平，米奥会展接入OpenAI服务,中国银河,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633472
社服零售行业周报：复苏+内容创新，景区迎发展新机遇,华西证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632565
社会服务行业·周观点：上海数交所发布《三年行动方案》，推动国家级数据交易所建设,中航证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632372
社会服务行业周报：茶饮/咖啡加速下沉渗透，出入境政策持续优化,开源证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632327
社会服务行业2022&1Q23业绩总结：冬去春来，复苏起航,海通国际,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625381
社服行业周报：“五一”酒店房价数据表现亮眼，出入境管理政策再获调整优化,上海证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625217
消费服务行业周报：关注出境游修复机会,东莞证券,2023-05-15,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625019
社会服务行业周报：港澳游“全国通办”即将回归，出入境游修复仍需时日,中银证券,2023-05-14,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586624251
消费者服务行业2022年度及2023年一季度业绩综述：业绩复苏如期而至，基本面改善驱动α行情,东莞证券,2023-05-12,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526525
社会服务行业深度报告：春风已至，花开可期,中国银河,2023-05-11,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586496785
社服：五一出行消费强劲复苏，多项数据超疫前水平,首创证券,2023-05-11,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586484710
消费者服务2022年报&2023一季报综述：23Q1自然景区恢复居前，关注小长假、暑期旺季催化需求释放,山西证券,2023-05-10,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586455262
餐饮旅游板块财报总结暨5月投资策略：一季报开局良好，复苏进入验证期,国信证券,2023-05-10,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441979
酒店行业双周报：奢华酒店和经济型酒店恢复弹性领先,东吴证券,2023-05-09,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586403403
社服行业2023年中期投资策略：服务型消费复苏强劲，布局新商业模式下的投资机会,开源证券,2023-05-09,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586400469
免税&酒店年报及一季报总结：景气上行，看好Q2进一步反弹,浙商证券,2023-05-09,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388370
社会服务行业跟踪报告：“五一”旅游强劲复苏，旅游行业前景向好,万联证券,2023-05-09,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388348
