研报名称,机构名称,发布时间,行业,研报地址
汽车行业06月周报：汽车新能源化与智能化再获政策加持,国联证券,2023-06-04,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306031590394932
5月新能源车行业洞察：新势力龙头表现分化，二线销量高增长,财通证券,2023-06-02,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306021589089997
汽车行业点评报告：新势力跟踪之5月销量点评:9家新势力合计交付环比+13%，理想/埃安/比亚迪再创新高,东吴证券,2023-06-02,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306021588625361
汽车行业混动赛道周动态（2023年5月第4期）,国元证券,2023-06-02,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306021588564466
商用车行业专题：5月重卡销量约7万，海外出口持续增长,华安证券,2023-06-02,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306021588081125
汽车行业周报：商用车板块复苏，乘用车销量提升,财通证券,2023-06-02,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306021588040477
新能源汽车行业系列点评五十五：新势力：交付环比向上 头部效应显现,华西证券,2023-06-02,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306021588027858
商用车行业点评报告：5月份重卡销量约7万，同比保持高速增长,开源证券,2023-06-02,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306021587860954
汽车行业双周报：汽车板块持续修复，新能源车渗透率有望迎来新一轮向上周期,国泰君安证券(香港),2023-06-01,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306011587464185
汽车与零部件：【汽车出海】2023年买什么？,东吴证券,2023-05-31,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587386455
