研报名称,机构名称,发布时间,行业,研报地址
汽车行业05月周报：5月销量开门红，新能源下乡打开行业空间增量,国联证券,2023-05-14 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586619777
汽车行业周报：商用车板块复苏，乘用车销量同比上升,财通证券,2023-05-11 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586486735
汽车行业新能源转型赛道周动态（2023年5月第1期）,国元证券,2023-05-11 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586480157
汽车行业周报：乘用车市场4月平稳回暖，部分新能源厂商销量增长较为显著,首创证券,2023-05-11 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586479778
汽车行业深度报告：汽车板块营收利润稳健增长，基金持仓有所增加,东亚前海证券,2023-05-10 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586442484
汽车2022年报&2023Q1业绩综述：分化加速,东吴证券,2023-05-10 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586442331
2023上海车展零部件跟踪报告：多款新技术精彩亮相，引领汽车变革新时代,财通证券,2023-05-09 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392491
汽车行业：低基数下车市延续弱势复苏，出口表现亮眼,中国银河,2023-05-08 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586359448
汽车和汽车零部件行业周报：4月新势力销量加速回暖，行业景气度持续修复,民生证券,2023-05-08 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358890
充电桩系列（05）：新能源汽车下乡吹响号角，充电桩迎来黄金期,民生证券,2023-05-08 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348609
汽车行业22年报及23年一季报总结：技术升级带动增量汽零业绩高增,国联证券,2023-05-06 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586336520
2025年国内乘用车摄像头搭载量将超1亿颗，CAGR17%,CINNO Research,2023-05-06 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586330475
汽车行业点评报告：新势力跟踪之4月销量点评：9家新势力合计交付环比+3%，多款新车上市有望提振销量,东吴证券,2023-05-05 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586281700
造车新势力系列二十一：4月销量环比改善，上海车展有望催化需求,国信证券,2023-05-05 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268228
汽车行业研究周报：2022年报及2023Q1季报点评,申港证券,2023-05-04 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267906
汽车及汽车零部件行业周报：新势力4月交付大幅提升，继续看好板块反弹机会,国金证券,2023-05-04 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267170
AI大模型在高阶自动驾驶中的应用,安信证券,2023-05-04 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586239997
中小盘行业报告：上海车展近40款车型配备激光雷达,国海证券,2023-05-04 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586217928
汽车行业跟踪：上海车展圆满收官，4月前三周零售批发同比增幅均超七成,信达证券,2023-05-04 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586215869
汽车行业4月周报：4月车市有所回暖，理想交付量表现亮眼,国联证券,2023-05-03 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586214321
汽车行业深度报告：2023年上海车展复盘-战略单品集体亮相，自主崛起势不可挡,平安证券,2023-04-28 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586075459
2023年中国汽车智能座舱行业词条报告,头豹研究院,2023-04-28 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586057007
2023年中国汽车安全气囊行业词条报告,头豹研究院,2023-04-27 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304271585976772
汽车与零部件行业周报：上海车展拥抱新时代，共同发力智能化主旋律,上海证券,2023-04-25 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585812148
中大排量摩托车行业研究：大排量方兴未艾，行业龙头率先受益,国金证券,2023-04-25 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585790919
锂电行业周报：上海车展开幕，新能源车盛筵袭来,川财证券,2023-04-25 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585785421
汽车和汽车零部件行业周报：智能电车密集落地，自主强势崛起,民生证券,2023-04-24 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585759561
汽车行业研究周报：上海车展开启新品周期 以价换量趋势将延续,申港证券,2023-04-24 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733573
车展见闻：电动化智能化双轮驱动，自主品牌引领行业变革,东亚前海证券,2023-04-24 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732780
汽车行业周报：乘用车同比增长较快，电动车成车展主角,西南证券,2023-04-24 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732008
汽车：新车型、新战略发布，新势力不断前行,财通证券,2023-04-24 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731687
汽车行业周报：电动化成为车展主旋律，自主超越合资品牌成为焦点,中国银河,2023-04-24 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731422
汽车行业智能网联车赛道周动态（2023年4月第3期）,国元证券,2023-04-24 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585730251
汽车行业周报：新能源汽车转型提速，自主品牌趋向高端化,东莞证券,2023-04-24 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729572
汽车行业周报：观车展：行业变革加速 自主崛起进行,华西证券,2023-04-24 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729145
汽车及汽车零部件行业研究：上海车展激活需求，自主&新势力加速跑马圈地,国金证券,2023-04-23 00:00:00.000,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726875
