研报名称,机构名称,发布时间,行业,研报地址
汽车业资料点评：5月汽车销量MOM增长長，新能源占比继续提升,群益证券,2023-06-19,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591066142
中国汽车出海研究框架：厚积薄发，行稳致远！,东吴证券,2023-06-19,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591061769
汽车和汽车零部件行业周报：智能驾驶+人形机器人风起，AI赋能加速落地,民生证券,2023-06-19,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591061187
汽车智能化月报系列（四）：2023年4月L2级及以上渗透率同比提升6pct，小鹏城市NGP在北京开放,国信证券,2023-06-19,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591061156
零部件6月月报：重视新一轮智能化大周期！,东吴证券,2023-06-19,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591060990
【华福汽车】周报2023W23：汽车板块后续如何演绎？,华福证券,2023-06-19,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591058668
汽车及汽车零部件行业周报：新车潮来袭消费提振，板块回暖进程加速,国金证券,2023-06-19,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591056865
汽车周观点：坚定拥抱【AI智能化+出海】,东吴证券,2023-06-19,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591056442
新能源汽车产业链周报：多部门推动开展新能源汽车下乡活动,东莞证券,2023-06-18,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591055754
汽车行业周报：工信部公布新能源汽车下乡车型，自主品牌有望直接受益,东莞证券,2023-06-18,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591055751
汽车行业深度报告：AI+汽车智能化系列之一【大模型+政策+功能】三重共振开启L3智能化大行情！,东吴证券,2023-06-18,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591055153
汽车行业06月周报：政策催化叠加供给优化，智能化进程有望加速,国联证券,2023-06-18,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306171591054533
商用车行业点评报告：5月重卡批发环比-7%，重汽表现靓丽,东吴证券,2023-06-16,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306161591040357
汽车行业混动赛道周动态（2023年6月第2期）,国元证券,2023-06-15,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306151590978933
汽车行业2023年中期策略：渐入佳境,浙商证券,2023-06-15,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306151590961379
汽车行业简评报告：5月车市复苏明显，商务部将开展促销费活动,首创证券,2023-06-15,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306151590958884
数据研究·专题：新能源汽车景气度跟踪：M6W1订单趋缓，汽车促销费活动加速汽车市场下沉，有望带来需求新增长,天风证券,2023-06-14,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306141590930048
汽车行业新势力赛道周动态（2023年6月第2期）,国元证券,2023-06-14,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306141590929450
新能源汽车行业2023年中期投资策略：电动浪潮不止，技术创新不息,中银证券,2023-06-14,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306141590928630
汽车行业深度报告：新能源汽车下乡打开蓝海市场,浙商证券,2023-06-14,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306141590928625
汽车与零部件行业周报：5月销量环比改善，把握板块修复机遇,上海证券,2023-06-13,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306131590894531
汽车和汽车零部件行业周报：5月车市边际改善明显，政策端多举措刺激消费,民生证券,2023-06-12,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590852627
汽车行业点评报告：L3级别自动驾驶有望加速落地量产,东吴证券,2023-06-12,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590852343
汽车行业5月销量点评：产销增速有所好转，静待消费需求的释放,山西证券,2023-06-12,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590851483
汽车及汽车零部件行业研究：商务部开展汽车促销活动，有望提振汽车消费,国金证券,2023-06-11,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306111590848167
汽车行业点评报告：5月乘用车销量环比回升，政策加持下汽车消费有望提振,开源证券,2023-06-09,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590682870
汽车行业智能网联车赛道周动态（2023年6月第1期）,国元证券,2023-06-09,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590673608
汽车行业商用车赛道周动态（2023年6月第2期）,国元证券,2023-06-09,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590673607
汽车行业混动赛道周动态（2023年6月第1期）,国元证券,2023-06-09,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590673606
汽车：汽车消费政策接踵而至，行业景气度加速恢复,华安证券,2023-06-09,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590644709
汽车行业深度：乘用车座椅：消费升级千亿赛道迎来本土破局黄金窗口,中泰证券,2023-06-09,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590644690
轮胎行业专题报告（2023年5月）：轮胎原材料价格环比下降6%，美从东南亚进口半钢环比显著提升,信达证券,2023-06-08,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306081590595326
【华福汽车】周报2023W19：4月库存低位运行+出口持续向好，打开月销增长空间,华福证券,2023-06-07,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306071590508548
汽车行业新势力赛道周动态（2023年6月第1期）,国元证券,2023-06-07,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306071590508334
汽车行业简评报告：5月前三周市场企稳修复，零售数据同环比增长,首创证券,2023-06-07,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306071590508215
汽车与零部件行业周报：新能源汽车购置税减免有望优化和延续,上海证券,2023-06-06,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306061590439779
轮胎行业深度报告之七：内外需求双复苏，轮胎布局时机到,国海证券,2023-06-05,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590430191
汽车和汽车零部件行业周报：新势力5月销量环比提升，板块景气度上行,民生证券,2023-06-05,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590420038
汽车行业周报：新能源汽销量环比回暖，比亚迪、广汽埃安、理想等月销均创新高,东海证券,2023-06-05,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590416458
汽车行业周报：重卡月销7.4万辆，政策继续支持新能源汽车,西南证券,2023-06-05,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590413282
车灯行业跟踪专题之五：车灯行业技术趋势、市场空间及竞争格局,国信证券,2023-06-05,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590412686
汽车行业商用车赛道周动态（2023年6月第1期）,国元证券,2023-06-05,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590412684
汽车行业研究周报：新能源汽车迎政策利好 看好板块底部反转,申港证券,2023-06-05,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590405836
智能汽车行业跟踪：政策扶持，AI赋能,财通证券,2023-06-05,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590403642
汽车行业新能源赛道周动态（2023年5月第4期）,国元证券,2023-06-05,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590402877
汽车行业跟踪周报：5月第四周乘用车批发销量环比-23%，优选客车！,东吴证券,2023-06-05,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306041590401143
新能源汽车产业链周报：国常会推动更大释放新能源汽车消费潜力,东莞证券,2023-06-04,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306041590399934
汽车行业：国常会延续和优化新能源汽车购置税减免政策，为行业注入信心,华福证券,2023-06-04,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306041590399008
汽车行业智能网联车赛道周动态（2023年5月第4期）,国元证券,2023-06-02,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306021588564544
汽车行业点评报告：5月新势力销量环比普遍增长，埃安、理想表现亮眼,开源证券,2023-06-02,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306021588018185
汽车热管理行业深度报告：乘新能源汽车东风，热管理迎来新机遇,东吴证券国际经纪,2023-06-01,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306011587449214
新能车：需求稳步修复，锂价涨势放缓,南京证券,2023-05-30,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305301587352271
汽车行业周报（2023年第21周）：商务部三措施护航中国汽车出海，比亚迪宋Pro DM-i冠军版上市,国信证券,2023-05-29,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587333190
汽车行业跟踪周报：5月第三周乘用车批发销量环比-2%，优选客车！,东吴证券,2023-05-29,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587330547
【华福汽车】周报2023W20：部分赛道进入右侧交易阶段，继续强调关注出海产业链,华福证券,2023-05-29,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587330291
汽车行业研究周报：行业竞争白热化,申港证券,2023-05-29,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587330227
汽车及汽车零部件行业研究：电车板块回暖态势显著，看好板块结构性机会,国金证券,2023-05-29,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328849
汽车和汽车零部件行业周报：特斯拉墨西哥工厂投产在即，中国零部件加速出海,民生证券,2023-05-28,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305281587324026
汽车行业05月周报：行业景气度企稳上行，优质汽零出海值得关注,国联证券,2023-05-28,汽车零部件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305281587323123
