研报名称,机构名称,发布时间,行业,研报地址
消费电子：“空间计算”时代开启，VR内容开发及果链厂商扬帆起航,华金证券,2023-06-07,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306071590503724
海外苹果Vision Pro点评：苹果头显正式发布，消费电子或迎来新时代,国联证券,2023-06-07,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306061590478428
电子行业周观点：北京提出推动国产AI芯片突破，LED照明芯片价格调涨,万联证券,2023-06-06,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306061590438272
电子行业周报：LED行业景气度逐渐回升，苹果XR新品下周或将亮相,上海证券,2023-06-06,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306061590438266
消费电子混合现实行业深度报告：MR能否成为下一个爆款？,浙商证券,2023-06-05,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590402928
电子周观点：苹果MR有望发布，关注MR/充电桩/手机链IC,德邦证券,2023-06-05,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590402822
电子：苹果MR发布在即，重点推荐相关产业链,天风证券,2023-06-01,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306011587450851
消费电子：库存水位回落，显示面板行业加速回暖,南京证券,2023-05-30,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305301587354178
降低中国供应链依赖，苹果正加快第二套供应链的步伐,CINNO Research,2023-05-19,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305191586954212
电子终端需求跟踪：缓行待上，徐徐图之,中航证券,2023-05-17,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586710498
电子行业周报：AI赋能智能终端趋势明确，关注消费电子和IoT芯片领域估值重塑,东海证券,2023-05-15,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586641634
消费电子苹果FY23Q2点评：预期偏谨慎，乐观看下半年新机&MR创新驱动复苏,天风证券,2023-05-08,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352453
苹果FY23Q2业绩点评：业绩超预期，关注新兴市场增长,信达证券,2023-05-06,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586313662
2023年中国蓝牙耳机行业词条报告,头豹研究院,2023-04-13,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304131585434537
VR虚拟现实行业深度报告：AI赋能、苹果入局，生态正向循环推动产业全面加速,国信证券,2023-04-10,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585248183
电子行业专题研究：新一代蓝牙技术LE Audio有望全面开花,国联证券,2023-03-30,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303301584716309
蓝牙耳机,头豹研究院,2023-03-27,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303271584589759
电子行业周报：顶配硬件独家生态，苹果有望年内推出首代MR产品,中航证券,2023-03-27,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303271584582596
消费电子：TWS耳机：中国市场持续下滑，预计2023年小幅回升,国金证券,2023-03-27,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303271584565749
电子设备行业动态点评：华为MateX3发布，全新铰链结构助力极致轻薄,东方财富证券,2023-03-24,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303241584536403
电子：华为新品发布：P60影像提升业界领先，Mate X3实现轻便化突破,平安证券,2023-03-24,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303241584528036
消费电子：ChatGPT快速迭代扩大算力缺口，全球服务器Capex有望超预期,天风证券,2023-03-21,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303211584425196
TWS耳机,头豹研究院,2023-03-20,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303201584416352
3月手机面板行情：2023年第二季度末价格或将止跌回稳,CINNO Research,2023-03-16,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303161584310193
电子行业简评报告：1月智能手机市场同比下降，关注消费电子底部机会,首创证券,2023-03-14,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303141584246881
2023年中国折叠屏手机市场洞察报告,艾瑞股份,2023-03-10,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303101584174366
电子行业深度报告：特斯拉新动态促进行业发展,东方证券,2023-03-10,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303101584171539
折叠屏手机专题：出货量逆市增长，增量组件迎新机遇,平安证券,2023-03-09,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303091584142067
2023年全彩电子纸在阅读器及手写本市场渗透率将升至4%,CINNO Research,2023-03-03,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303031584027226
虚拟现实行业：苹果MR头显发布时间再推迟，不改行业中长期看好趋势,国融证券,2023-02-24,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302241583677775
电子行业02月周报：电子板块回调，国内平板电脑市场连续增长,国联证券,2023-02-20,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302201583386257
消费电子行业点评报告：手机库存有望于Q2见底，重视折叠屏创新机遇,浙商证券,2023-02-10,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302101582992209
电子行业点评：安森美22财年营收、毛利率创纪录，汽车业务仍供不应求,平安证券,2023-02-08,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302081582890390
手机：权威发布：2022年11月国内市场手机出货量2323.8万部，其中5G手机占比77.1%。,中国信通院,2023-02-08,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302081582888175
电子行业报告：国内折叠手机逆势增长，节后硅片价格继续回调,平安证券,2023-02-06,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302061582805743
汽车电子周跟踪：车企降价促销提振销量，汽车电子板块延续涨势,中泰证券,2023-02-06,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302061582799657
电子行业周报：Wolfspeed宣布将建造全球最大200毫米晶圆工厂,东莞证券,2023-02-06,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302061582795927
消费电子行业点评：消费电子业绩见底回升，看好今年成长机会,天风证券,2023-02-06,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302061582791802
消费电子行业月度跟踪：关注安卓系销量修复、苹果产业链创新,西南证券,2023-01-31,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301311582560482
消费电子跟踪：蓄力破冰拐点隐现，复苏与创新贯穿2023年,信达证券,2023-01-30,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301301582498790
电子设备行业2023年度投资策略：柳暗花明，秉供给创新，期需求复苏,东方财富证券,2023-01-18,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301181582111342
消费电子跟踪：看好果链创新机遇，汽车继续关注智能化,信达证券,2023-01-06,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301061581753513
消费电子行业研究：TWS耳机：苹果稳健增长，中国市场持续下滑,国金证券,2022-12-08,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202212081580922476
消费电子行业研究：预计2023年智能手机需求微增，关注产业链微创新,国金证券,2022-12-05,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202212051580819554
电子行业报告：NANDFlash市场不及预期，电视面板价格全线上涨,平安证券,2022-11-28,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211281580635140
消费电子跟踪：关注安卓销量复苏、苹果创新带来的投资机会,信达证券,2022-11-25,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211251580560329
2022年小米生态链及元宇宙布局研究报告,头豹研究院,2022-11-21,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211211580443987
消费电子11月投资策略：关注苹果、折叠屏产业链业绩兑现及安卓阵营预期修复,国信证券,2022-11-15,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211151580257479
消费电子三季报总结,天风证券,2022-11-14,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211141580218070
电子行业周报：景气度领先财务数据筑底，关注消费电子产业链,国信证券,2022-11-07,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211071580014927
VR行业点评报告：政策指明虚拟现实发展航向，VR/AR软硬两端大有可为,浙商证券,2022-11-02,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211021579827677
消费电子：苹果FY22Q4点评：iPhone份额&ASP提升持续成长，Mac销售表现亮眼,天风证券,2022-11-01,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211011579702479
2022年第三季度国内智能手机市场销量同比下降21% 苹果一枝独秀，9月强势获得销量第一,CINNO Research,2022-10-27,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210271579517584
消费电子跟踪：底部布局机遇凸显,信达证券,2022-10-21,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210211579344183
2022上半年国内智能手机侧边指纹搭载量同比增长7%,CINNO Research,2022-10-17,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210171579215965
消费电子行业点评：关注Meta发布高端VR Quest Pro+强化VR设备计算平台属性,天风证券,2022-10-14,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210141579164111
8月中国大陆市场智能手机销量同比降26%！荣耀夺月度冠军成Top5唯一正增长,CINNO Research,2022-09-30,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202209301578790113
