研报名称,机构名称,发布时间,行业,研报地址
交通运输仓储行业研究：顺丰控股拟出售丰网，盛航股份拟购置运力,国金证券,2023-05-15,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586637896
交通运输行业周报：原油运价强势反弹，港澳航线复苏步伐加快,华福证券,2023-05-15,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633532
交通运输行业周报：顺丰出售“丰网”聚焦战略核心，4月国内航班量连续2个月超2019年同期,中银证券,2023-05-15,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632837
交运行业周报：供需持续恢复，静待暑运旺季,中泰证券,2023-05-15,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632274
交运行业2022年报&2023年一季报综述：油运上行集散承压，航空机场复苏加速，公铁客货运量齐升,中银证券,2023-05-15,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586624236
交通运输行业周报：中特估提前提示迎调整，航空股印证判断弱贝塔,华金证券,2023-05-14,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586621431
交通运输行业月报：新冠不再构成国际突发公共卫生事件，把握航空布局窗口期,国海证券,2023-05-10,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586426653
交运建筑财报总结暨投资策略：交运物流反转，基建旧改发力 攻守线条兼具，建议多面布局,浙商证券,2023-05-09,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392538
交通运输行业周报：五一出行复苏超预期，民航市场量价齐升,华福证券,2023-05-08,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586362527
交通运输产业行业研究：年报及一季报总结：出行复苏确定，物流修复可期,国金证券,2023-05-08,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358455
快递物流行业22年报及一季报综述：行业底部已现，23年行业盈利端有望加速改善,中邮证券,2023-05-08,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355102
交通运输行业周报：礼诺航运一季度业绩创新高，五一出境游订单同比增长7倍,中银证券,2023-05-08,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586353586
交通运输行业周报（5月第1周）：民航迎史上“最火”五一，世卫宣布新冠不再构成“国际关注的突发公共卫生事件”,浙商证券,2023-05-08,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348701
交运行业2022年报&2023一季报总结,上海证券,2023-05-08,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348622
交通运输行业深度报告：快递公司22年报及23一季报综述-高质量发展盈利能力显著改善，23年量增价稳，底部布局迎复苏,东方证券,2023-05-06,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586329720
交通运输行业周报（4月第5周）：五一假期出行需求爆发，前三日预计发送旅客量同比增长162%,浙商证券,2023-05-05,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290034
交通运输仓储行业研究：“五一”出行需求旺盛 国际航班约为2019年四成,国金证券,2023-05-05,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290026
交通运输行业周报：VLCC市场短期有所走弱，国际客运航班量首破千,中银证券,2023-05-05,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586278797
交通运输行业2023年5月投资策略：交运一季报表现符合预期，看好出行及一带一路相关个股,国信证券,2023-05-05,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268219
交通基础设施行业一季度信用观察：交通需求释放，行业运行企稳回升,联合资信,2023-05-04,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264627
交通运输行业周报：五一出行：航空量价齐升，铁路客流历史新高,安信证券,2023-05-04,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586240005
交运行业2023Q1持仓分析：AI大热交运配比回落，中国需求支撑航运景气,西南证券,2023-04-28,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586042316
快递行业2023年一季度数据点评：3月件量恢复增长，价格企稳释放信心,东莞证券,2023-04-28,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586038887
快递行业3月数据点评：疫情稳定下件量持续修复，行业ASP短期承压,西南证券,2023-04-27,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304271585929569
物流：淡季价格稳定，顺丰业务量增速持续优于行业,天风证券,2023-04-25,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585786443
交通运输行业周报：快递市场呈现快速恢复势头，成本优势有望助力航司加速修复,上海证券,2023-04-24,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585764185
快递行业3月数据点评：业务量增长符合预期，单票价格略降,东兴证券,2023-04-24,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585754188
交运行业周报：航空运输态势良好，快递行业整体恢复,西南证券,2023-04-24,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733575
交通运输行业周报：最热“五一”或将来到，旅游需求集中释放,华福证券,2023-04-24,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733564
交通运输行业周聚焦：五一假期有望成为“史上最旺”，快递底部布局期已至,东方证券,2023-04-24,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585730452
2023年3月快递行业数据点评：行业件量增长持续修复，淡季行业ASP同比略降,华福证券,2023-04-24,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729622
快递行业3月数据点评：低基数下行业量增价稳，顺丰增速修复显著，通达系进入底部布局期,东方证券,2023-04-24,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729530
交通运输行业周报：炼厂检修开工率下降VLCC运价有所回落，五一出游热度大幅回暖,中银证券,2023-04-24,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585728969
物流事件点评：件量增长加速，头部企业有望量利双升,国海证券,2023-04-23,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585727608
交通运输行业周报：看好出行需求加速释放,安信证券,2023-04-23,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726127
物流：3月快递数据点评：需求稳健恢复，价格竞争与份额分化持续,安信证券,2023-04-23,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585721161
交通运输行业专题：国信证券交运团队交通运输板块投资框架——快运+同城即配,国信证券,2023-04-21,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585675560
3月快递数据点评：件量明显复苏顺丰维持增长,群益证券,2023-04-21,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585671195
物流行业3月快递数据点评：快递需求加速复苏，价格表现仍属稳健,国信证券,2023-04-21,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585669485
快递行业专题报告：3月快递件量增速加速提升，看好履约能力修复及价格秩序维稳,浙商证券,2023-04-21,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585661841
2022年中国物流科技行业研究：数字化运输管理平台,头豹研究院,2023-04-20,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585636478
交运行业周报：空箱堆积情况好转，电商物流配送提速,西南证券,2023-04-17,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585493073
交运行业周报：航班持续恢复，五一票价弹性初显,中泰证券,2023-04-17,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585490494
交通运输行业专题：国信证券交运团队交通运输板块投资框架——快递,国信证券,2023-04-14,物流行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304141585460031
