研报名称,机构名称,发布时间,行业,研报地址
新型电力系统周报：广东拉大峰谷价差，用户侧储能装机有望提速,国海证券,2023-06-13,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590884591
公用事业及环保产业行业研究：4月电力：经济复苏，二产支撑用电增长,国金证券,2023-06-06,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306061590442604
公用事业行业周报（2023年第22周）：新型电力系统卷轴铺开，海水电解制氢迎突破,民生证券,2023-06-05,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590403557
各省电网代理购电价格月报（2023年6月）：6月起执行全新电价政策，过网费用显著上升,国联证券,2023-06-02,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306011587515777
氢能产业系列报告（四）：绿氢星辰大海，电解槽放量可期,德邦证券,2023-05-31,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587387421
公用事业行业周报：加快构建国家水网“一张网”，提供有力的水安全保障,东方证券,2023-05-31,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587382967
电力行业4月月报：二三产用电量同比高增长，电改政策接连出台,信达证券,2023-05-31,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587378517
电力月谈2023年5月期,民生证券,2023-05-29,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587336747
电力行业：4月份风电装机同比增长126%，产业链从23Q2开始进入利润兑现阶段,海通国际,2023-05-26,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305261587284906
公用事业行业研究周报：中特估系列3：央企集团及旗下电力相关上市公司梳理,天风证券,2023-05-24,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305241587131046
公用事业行业周报：《电力需求侧管理办法》&《电力负荷管理办法》征求意见,东方证券,2023-05-23,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305231587110560
电力行业行业事项点评：《电力需求侧管理办法》及《电力负荷管理办法》（征求意见稿）点评,信达证券,2023-05-22,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587047919
电力2022年报及2023Q1季报综述：淬炼真金，前景可期,东亚前海证券,2023-05-19,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305191586968293
火电行业专题报告：煤价低位运行，火电行情正当时,西南证券,2023-05-18,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586743281
"锂电行业周报：5月销量反弹,上游原材料价格企稳",川财证券,2023-05-17,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586718855
公用事业及环保产业行业研究：3月电力：经济复苏，二产支撑用电增长,国金证券,2023-05-15,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625051
2023年中国新型电力系统行业词条报告,头豹研究院,2023-05-09,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586409707
公用环保行业2022&2023Q1总结：火电复苏业绩修复，绿电持续扩张稳步增长，环保产业拐点已到，第二曲线发掘增长空间,华福证券,2023-05-09,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586395789
公用事业及环保行业周报：3月：三产拉动用电增长，水电减量火电补位,国金证券,2023-05-08,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355016
电力行业3月月报：开工复苏潮渐起，电力消费回暖明显,信达证券,2023-05-07,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347462
公用事业及环保产业行业研究：火电盈利实质性改善，绿电保持稳健增长,国金证券,2023-05-05,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586289967
电力板块2022年及2023年一季报总结：火电业绩逐季改善，绿电业绩分化明显,国海证券,2023-05-04,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586245913
《关于加强新型电力系统稳定工作的指导意见》点评：电力系统稳定促迎多维度发展机遇,国联证券,2023-04-24,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585769797
3月电力数据点评：3月用电需求复苏明显，太阳能发电增速加快,中国银河,2023-04-24,电力行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585746209
