研报名称,机构名称,发布时间,行业,研报地址
电子：海外苹果MR点评-创新驱动，苹果MR有望引领行业发展,国联证券,2023-05-30,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305301587352036
2023年全球面板厂营收预估将同比下滑10%,CINNO Research,2023-05-30,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305301587349128
电子行业周报：全球碳化硅产能加速布局，面板行业持续升温,上海证券,2023-05-30,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305301587347556
电子行业周报：大模型催生算力需求，AI产业需求持续爆发,东海证券,2023-05-29,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587343860
电子行业周报：AI行情的思考：合作伙伴重估值潜力,民生证券,2023-05-29,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587339761
通用电子测试仪器仪表行业专题研究：专题二：以史为鉴，期待本土平台型公司,东方财富证券,2023-05-29,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587339262
电子行业周观点：日本半导体设备出口管制落地，显示玻璃基板价格调涨,万联证券,2023-05-29,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587338912
电子行业点评报告：Q1服务器出货量环比减少15.9%，AI服务器需求强劲,湘财证券,2023-05-29,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587333181
电子行业周报：英伟达业绩超预期，重视AI和国产化双主线,中泰证券,2023-05-29,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587330311
电子行业：AI刺激持续，国产化进程加速,东方证券,2023-05-29,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587330275
电子行业动态跟踪：日本半导体设备管制落地，设备国产化持续加速,东方证券,2023-05-29,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328817
电子行业周报：英伟达业绩超预期，看好AI、MR新技术需求驱动,国金证券,2023-05-29,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328578
电子行业周报：英伟达业绩超预期催生算力需求,东莞证券,2023-05-29,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328562
