研报名称,机构名称,发布时间,行业,研报地址
纺织服装：22年及23Q1总结与展望，服装呈改善，纺织待复苏,东兴证券,2023-05-12 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586527969
纺服行业2023年4月电商数据报告,中泰证券,2023-05-12 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526074
纺织服装板块2022年报&23年一季报总结：品牌服饰23Q1业绩靓丽、趋势向好，看好估值业绩双重修复持续兑现,东吴证券,2023-05-08 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586380661
纺织服装5月投资策略暨年报&一季报总结：品牌服饰加速增长，纺织制造景气度改善,国信证券,2023-05-08 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358514
纺织服装行业周报：Q1展现服装修复弹性，需求有望进一步释放,中银证券,2023-05-08 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586353047
纺织服装行业品牌力跟踪月报202304期：行业发力夏季新品营销，国内运动品牌热度提升,国信证券,2023-05-08 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348573
纺织服装海外跟踪系列二十三：阿迪达斯一季度净亏损0.4亿欧元，预期年末库存回归正常,国信证券,2023-05-08 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348572
纺织服装行业周报：阿迪达斯23Q1营收同比持平，越南4月鞋类出口金额降幅环比收窄,山西证券,2023-05-07 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586346783
纺织服装行业周报：五一服装消费增长18%，服装板块行情延续,华西证券,2023-05-07 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586343668
纺织服装行业行业周报：一季报驱动下黄金珠宝和中高端细分服饰继续表现强势,东方证券,2023-05-05 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290313
纺织服装板块年报及一季报总结：服装板块Q1百花齐放，利润弹性超市场预期,华西证券,2023-05-05 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586285058
轻纺美妆行业周报：美容护理板块23Q1利润大幅上升,申港证券,2023-05-04 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268221
运动户外行业报告：如何看2023Q1运动户外数据？,国海证券,2023-04-27 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585911436
轻纺美妆行业周报：浆价大幅下降 生活用纸企业盈利弹性预现,申港证券,2023-04-25 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585790921
纺织服装行业周报：降本增效贡献惊喜，关注低估值龙头业绩弹性,浙商证券,2023-04-25 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585785455
纺织服饰行业月报：3月品牌服饰复苏向好，23Q1业绩有望超预期,东吴证券,2023-04-25 00:00:00.000,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585780940
