研报名称,机构名称,发布时间,行业,研报地址
纺织服装行业22年报及23一季报总结：拥抱复苏,浙商证券,2023-05-24,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305241587126593
纺织服装行业周报：关注开店积极/黄金首饰为主的珠宝公司，昂跑上调2023财年业绩指引,山西证券,2023-05-23,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305231587068100
纺织服装行业周报：4月服装零售延续复苏，继续推荐品牌服饰龙头,中银证券,2023-05-22,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587048098
纺织服装行业行业周报：低基数上4月社零提速，弱预期下中高端品牌与黄金珠宝有望继续强势,东方证券,2023-05-22,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587042943
纺织服装行业周报：短期疫情有所反复，影响消费板块情绪,华西证券,2023-05-22,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587042762
纺织服装行业周报：4月服装零售额同比快速增长，Q2消费逐步复苏,信达证券,2023-05-22,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305211587036352
纺织服饰行业月报：4月品牌服饰延续逐月改善态势，提示全年业绩估值双重修复机会,东吴证券,2023-05-19,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305191586974185
纺织服装双周报（2309期）：看好成长期品牌公司，关注制造个股复苏拐点,国信证券,2023-05-18,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586736537
纺服重点公司近况跟踪：品牌服饰改善趋势向好，制造端下半年有望迎订单拐点,东吴证券,2023-05-16,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586679000
纺服&商贸行业：2023年纺服中期策略报告,太平洋,2023-05-16,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586675156
纺织服装行业周报：4月越南出口大幅下降，关注推进AI改造的鞋服公司,信达证券,2023-05-15,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586639081
纺织服装行业行业周报：AI+服装主题活跃，二季度服饰消费有望继续向好,东方证券,2023-05-15,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633498
纺织服装行业周报：4月服装出口延续增长，线上维持复苏趋势,中银证券,2023-05-15,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632929
纺织服装行业周报：品牌服饰严选基本面，出口制造关注左侧机会,浙商证券,2023-05-15,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632370
纺织服装行业周报：裕元集团23Q1鞋履均价继续攀升，安德玛23Q1库存出现拐点,山西证券,2023-05-15,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623861
纺织服装行业周报：本周服装板块AI主题全面爆发,华西证券,2023-05-15,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623854
纺织服装：22年及23Q1总结与展望，服装呈改善，纺织待复苏,东兴证券,2023-05-12,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586527969
纺服行业2023年4月电商数据报告,中泰证券,2023-05-12,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526074
纺织服装板块2022年报&23年一季报总结：品牌服饰23Q1业绩靓丽、趋势向好，看好估值业绩双重修复持续兑现,东吴证券,2023-05-08,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586380661
纺织服装5月投资策略暨年报&一季报总结：品牌服饰加速增长，纺织制造景气度改善,国信证券,2023-05-08,纺织服装,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358514
