研报名称,机构名称,发布时间,行业,研报地址
化妆品及医美行业周报：4月化妆品线上分化，新规利好长期发展,中银证券,2023-05-15,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586640080
美容护理行业周报：关注“618”大促行业回暖程度,上海证券,2023-05-15,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625215
美妆行业周度市场观察第19周,艾瑞股份,2023-05-15,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586624976
美护双周跟踪：露华浓完成财务重组，关注618美妆大促进展,国联证券,2023-05-14,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586619700
化妆品行业2022年年报综述：2022年行业整体承压，部分龙头表现亮眼,万联证券,2023-05-10,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586445164
化妆品行业2023年一季报综述：23Q1行业整体回暖，龙头表现持续亮眼,万联证券,2023-05-10,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441967
美容护理行业周观点：十一部门联合印发《关于进一步加强医疗美容行业监管工作的指导意见》,万联证券,2023-05-09,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388347
美容护理行业4月月报&5月投资策略：关注复苏弹性与边际变化,上海证券,2023-05-09,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388336
社服化妆品行业：重组胶原蛋白植入剂先发者锦波生物，高研发护航,华福证券,2023-05-08,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586373727
化妆品及医美行业点评：2023Q1行业表现分化，期待Q2旺季表现,中银证券,2023-05-08,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347085
美容护理行业2022年报及2023一季报总结：厚积薄发，龙头成长可期,东海证券,2023-05-06,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586330558
美妆&新消费行业2022年年报&2023年一季报总结：品牌分化，拐点渐近,上海证券,2023-05-05,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586286560
彩妆行业深度报告：赛道景气度探底回升，国货彩妆品牌加速崛起,东方证券,2023-05-04,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267156
美容护理行业周观点：多家黄金珠宝头部企业23Q1业绩亮眼,万联证券,2023-05-04,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264634
美护行业22年&23Q1财报总结：龙头逆境彰显韧性，期待Q2行业加速,中邮证券,2023-05-04,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586244526
美妆：化妆品监管趋严，生产重心持续南移,首创证券,2023-04-25,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585789618
美容护理行业周观点：市场监管总局发布《医疗美容消费服务合同》，多家上市公司发布财报,万联证券,2023-04-24,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585764177
化妆品及医美行业点评：3月化妆品零售复苏，医美持续加大规范发展,中银证券,2023-04-24,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732426
美妆周报：消费复苏趋势向好，3月化妆品社零同比+9.6%,国联证券,2023-04-23,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726061
美妆行业周报：关注边际变化与生态圈拓展进度,上海证券,2023-04-23,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718737
3月美妆电商数据跟踪：3月美妆线上数据表现平淡，彩棠、毛戈平同比高增,万联证券,2023-04-20,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585613347
美护行业3月月报：大盘回暖，分化延续,国联证券,2023-04-20,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585599136
疫后复苏系列之医美专题报告：需求与产品共振，黄金时代应运而生,东莞证券,2023-04-18,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585535024
美容护理行业周观点：珀莱雅发布2022年业绩快报，营收与归母净利润同比高增,万联证券,2023-04-17,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585498513
消费品零售&化妆品行业行业周报：消博会持续关注品质消费与高质量发展同频共振，维持推荐优质零售标的,中国银河,2023-04-17,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585494064
美妆行业专题：拟上市新股研究,西南证券,2023-04-17,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585489581
美妆行业周报：华东医药22年医美高增，百亿射频美容仪赛道监管陆续完善,上海证券,2023-04-17,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585489575
化妆品行业周报：重点品牌3月淘系线上环比改善，国货龙头亮眼,中银证券,2023-04-17,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488938
美容护理双周刊：纯净美妆风口已至，合成生物学助推化妆品行业变革,信达证券,2023-04-17,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488845
美妆周报：登康口腔正式上市，珀莱雅披露22年业绩快报,国联证券,2023-04-16,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585486878
美容护理行业周观点：华东医药首个国产利拉鲁肽获批上市，丸美股份发布产投基金增资公告,万联证券,2023-04-10,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585256736
轻纺美妆行业周报：美护赛道2022业绩整体表现佳 建议持续关注龙头,申港证券,2023-04-10,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585255200
消费品零售&化妆品行业：清明假期居民消费复苏并伴随短途出行热情高涨，维持推荐优质零售标的,中国银河,2023-04-10,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585249373
化妆品与日化行业研究：AIGC+代运营商，关注降本增效的投资机会,国金证券,2023-04-10,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585249116
美妆行业周报：化妆品线上新规加码，朗姿股份23Q1利润修复，看好线下复苏弹性,上海证券,2023-04-10,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585247960
美容护理行业3月月报&4月投资策略：蓄力Q2，关注边际向好的美护标的,上海证券,2023-04-10,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585247922
美妆周报：3月美妆线上数据回暖，巨子生物“欣苷”品牌升级发布,国联证券,2023-04-09,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304081585239490
社服化妆品行业：大师级专业彩妆毛戈平传承东方美学,华福证券,2023-04-06,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304061585184831
透明质酸行业深度：医美渗透率提升，产品丰富迭代驱动需求高增,中银证券,2023-04-04,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304041585129565
美容护理行业周观点：多家医美化妆品公司发布2022年业绩，关注超预期个股,万联证券,2023-04-04,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304041585061744
化妆品与日化行业研究：Q1业绩前瞻，关注传统赛道强+高景气赛道红利机会,国金证券,2023-04-03,美容护理,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304031585029665
