研报名称,机构名称,发布时间,行业,研报地址
国防军工行业跟踪周报：军企人事更迭与装备中期调整是当前行业波动的核心变量,东吴证券,2023-05-15,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586652430
国防军工一季报&公募基金持仓综述：季度业绩增速现拐点，Q2业绩较快增长可期,中国银河,2023-05-15,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632912
国防装备行业周报（2023年5月第2周）：聚焦船舶、远火、无人机等重点领域；军工内需外贸双驱动,浙商证券,2023-05-15,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632438
国防军工2023一季报分析：黎明即起，未来方向初见端倪,天风证券,2023-05-15,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625237
军工行业2023年一季度公募基金持仓分析：1Q23机构大幅减配；重仓股集中度下降且调整较大,民生证券,2023-05-15,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625201
国防军工行业周报：我国新船订单成交量在前四个月第三次登上月度接单榜首,东莞证券,2023-05-15,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625004
国防军工行业周报：一季度已“开门红”，二季度或“攀高峰”,德邦证券,2023-05-15,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586624989
国防军工行业动态报告：造船行业进入业绩兑现周期，板块仍具估值提升空间,华西证券,2023-05-12,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586541947
国防军工行业2022年及2023年一季度业绩综述：稳中向好，船舶与航空发动机需求强劲,东莞证券,2023-05-12,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586534968
国防军工5月展望报告：至暗将过，东方欲晓,民生证券,2023-05-12,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586528007
军工行业：聚焦新域新质 布局景气赛道,太平洋,2023-05-12,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526097
军贸深度之三：中国预警机走在世界前列，军贸出口有望取得新突破,中邮证券,2023-05-12,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586524348
军工行业年报、一季报综述：22年行业增速全市场居中靠前，23年仍有后劲,安信证券,2023-05-09,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586410482
国防军工行业22年报及23一季报总结：需求增长及国产化率提升带动行业发展,国联证券,2023-05-09,航天航空,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586408436
