研报名称,机构名称,发布时间,行业,研报地址
航空行业周报（2023第19周）：五一航空市场火热，票价超2019年同期3成,国海证券,2023-05-12 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586528032
"交通运输行业专题报告：行业配置比例小幅回调,机构加仓航空航运——1Q2023交运机构持仓分析",国海证券,2023-05-12 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586527037
交通运输行业周报：五一出行火热带动交通运输修复，航空出行量价齐升,首创证券,2023-05-11 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586490259
航空系列深度之一数量驱动转向质量驱动，行业供给改善,国联证券,2023-05-09 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586383321
交运行业周报：五一航空出行火爆，快递业务下沉市场猛增,西南证券,2023-05-08 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586354917
航空行业深度报告：收益策略变局的沙盘推演，廉价航空成为旺季胜负手,华金证券,2023-05-08 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347574
交通运输行业周报：2023年航空弱贝塔，廉航或成旺季胜负手,华金证券,2023-05-08 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347141
交通运输：从“五一”出行看航空业全年复苏,国联证券,2023-05-05 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586291128
航空机场22年报&23一季报总结：冬去春来，万象更新,浙商证券,2023-05-05 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268231
航空机场数据跟踪月报：边境管控持续优化，航空恢复好于预期,西南证券,2023-04-27 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304271585934543
交通运输行业专题报告：中特估：国企改革，乘风破浪,上海证券,2023-04-26 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585855449
交运行业周报：国际航班持续恢复，五一市场需求升温,中泰证券,2023-04-24 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585752855
航空行业周报（2023第17周）：五一预订超预期，把握布局窗口期,国海证券,2023-04-24 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585751088
交通运输仓储行业研究：3月快递业务量高增长 “五一”预计民航单日客流超2019年,国金证券,2023-04-24 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733299
交通运输行业周报（4月第4周）：白云机场Q1率先扭亏，继续看好航空大周期,浙商证券,2023-04-23 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585721426
航空机场：拥抱航空大周期系列（一）-起飞与跌宕：回顾航空投资20年,国海证券,2023-04-21 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585679790
交通运输周报：航班量客运量持续回暖，国际航线复苏趋势显著,首创证券,2023-04-18 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585548639
交通运输行业周报：航空市场持续回暖态势，油运表现有望超预期,上海证券,2023-04-18 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585530631
航空机场3月数据点评：淡季国内客座率下滑，关注五一小长假需求弹性,东兴证券,2023-04-17 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585502438
交通运输仓储行业周报：嘉兴全球航空物流枢纽项目开工 3月航司经营环比继续改善,国金证券,2023-04-17 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585498443
大陆3月民航数据点评：复苏符合预期 五一国际航线加速恢复,群益证券,2023-04-17 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585497914
航空2023年3月数据点评：国内线高位运行，国际线加速复苏,国信证券,2023-04-17 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585494027
航空行业周报（2023第16周）：五一机票预定紧俏，量价已超2019年同期,国海证券,2023-04-17 00:00:00.000,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585493592
