研报名称,机构名称,发布时间,行业,研报地址
2023年中国自然语言理解行业概览：人与机器语言交互的核心技术,头豹研究院,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586647662
计算机行业周观点：谷歌发布PaLM2，大模型竞争有望加速,万联证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586643287
计算机行业研究：工业软件板块梳理：与β复苏共舞，拥抱高成长α,国金证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586637906
计算机行业点评报告：ChatGPT插件即将开放，应用生态进一步丰富,开源证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633485
计算机行业点评报告：海外AI点评：Palantir 23Q1超预期，大模型赋能大数据应用,浙商证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633350
计算机行业点评：WiNGPT加速进化，医疗AI应用密集落地,民生证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633321
人工智能行业点评：Google Gecko推出，小型化分支迈出一大步,国信证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633319
计算机行业周观点：谷歌发布PaLM2，AI军备竞赛再升级,开源证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632387
计算机行业事件点评：教育：AI最佳的落地场景之一,民生证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632331
计算机行业投资策略周报：AI推动行业估值修复，未来如何布局,财通证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632297
计算机周报：谷歌的“帝国反击战”：AI从云到边的拐点,民生证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632272
计算机行业点评报告：海外AI点评：Lemonade凭借AI持续赋能，盈利能力显著好转,浙商证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625292
计算机行业周报：IDC：预计我国人工智能市场规模在2023年将超过147亿美元,东莞证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625008
计算机行业周观点：谷歌全面反击ChatGPT，AI孙燕姿爆火,华西证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623853
战略科技（计算机）行业周报：政务数据要素的进展与机遇,华安证券,2023-05-15,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623839
计算机行业点评报告：海外AI点评：Duolingo运用大模型助力月活提升，业绩超预期,浙商证券,2023-05-12,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586528024
计算机行业2022及2023Q1业绩综述：静待行业利润拐点，机构持仓比例上升,东莞证券,2023-05-10,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441969
人工智能：AI大模型近期要闻,西南证券,2023-05-10,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586433062
计算机行业专题研究：多重因素驱动计算机行情或将持续,国联证券,2023-05-10,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586420433
计算机行业2022年年报&2023年一季报综述：2022业绩承压，23Q1显著改善,中银证券,2023-05-09,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586400410
计算机行业行业专题报告：向量数据库-大模型引发爆发式增长,华福证券,2023-05-09,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392505
计算机行业双周报2023年第9期总第49期：把握人工智能科技发展浪潮,长城国瑞证券,2023-05-09,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586391906
计算机行业专题报告：数据要素政策持续落地，把握产业链投资机会,华鑫证券,2023-05-09,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586383169
计算机行业周报：机构持仓比例上升，大幅加仓AI领域,东莞证券,2023-05-08,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586361028
计算机行业2023年5月投资策略暨财报总结：2022行业业绩承压，AI应用+算力双轮发力,国信证券,2023-05-08,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358518
计算机周报：AI行稳致远的基础：全球AI监管知多少,民生证券,2023-05-08,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348611
计算机行业研究：金融科技板块小结：2022年韧性较强，2023年回暖明显,国金证券,2023-05-08,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348531
计算机行业点评报告：国资云：有望成为关基行业垂直模型的主要载体,东吴证券,2023-05-08,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586347781
计算机行业周报：大模型有望对标ChatGPT，布局AI+司法机遇,华鑫证券,2023-05-08,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347572
计算机深度报告：22年报及23Q1综述：产业激荡，走向光明,中邮证券,2023-05-06,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586336374
计算机行业月度点评：持续关注业绩与技术发展的关联强度,财信证券,2023-05-06,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586331342
计算机行业动态报告：AI引领计算机超级行情的当前阶段,民生证券,2023-05-06,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586326779
计算机一季报综述：收入利润剪刀差持续兑现，复苏初现,天风证券,2023-05-05,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290280
计算机行业点评：强烈看好支付板块：低估值+Q1高增,民生证券,2023-05-05,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290272
计算机行业深度报告：人工智能：史上最伟大的科技革命,民生证券,2023-05-05,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586289853
计算机周观点：继续看好AI+行业投资机会,开源证券,2023-05-04,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267879
计算机行业研究周报：每周一谈：计算机行业一季度营收及扣非净利仍承压 基金持仓配置大幅提升,申港证券,2023-05-04,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267266
微软产业链深度：科技平权时代,华西证券,2023-05-04,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586265553
计算机行业周观点：计算机板块22年报&23一季报总结,华西证券,2023-05-04,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586221201
一季报复苏初现端倪；五一消费回暖利好相关产业链,华安证券,2023-05-03,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586222106
计算机周报：数币加速已可预见，看好规模带动需求,中银证券,2023-04-28,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586014542
计算机行业专题报告：AI赋能工业软件展望,财通证券,2023-04-26,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585861011
2023年中国蜜罐行业词条报告,头豹研究院,2023-04-25,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585820444
计算机行业周观点：国资委强调国资云建设，上海大力发展算力产业,万联证券,2023-04-24,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585759680
2023年计算机行业Q1基金持仓分析：计算机配置比例显著提升超配比例相比2019年仍有较大空间,浙商证券,2023-04-24,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585740726
计算机行业研究周报：每周一谈，AI浪潮席卷，为协同办公赛道注入新动力,申港证券,2023-04-24,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733572
计算机行业周报：算力资源调度重要性凸显，把握算力相关机遇,华鑫证券,2023-04-24,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732886
计算机行业投资策略周报：AI赛道的重要更新及长期展望,财通证券,2023-04-24,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732525
计算机行业周报：从上海车展看汽车智能化新成果,太平洋,2023-04-24,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731726
计算机行业周观点：紧抓AI算力与数据要素,华西证券,2023-04-23,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585728089
计算机行业周报：一季报陆续披露，调整之下优选强逻辑与业绩反转,华安证券,2023-04-23,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726539
计算机行业周报：国资委：推进国资央企云体系建设,东莞证券,2023-04-23,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726147
计算机周报：MetaERP：华为软件国产化的旗帜,民生证券,2023-04-23,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585725145
计算机行业点评报告：华为官宣MetaERP自主可控，生态合作伙伴有望受益,浙商证券,2023-04-23,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718754
计算机行业事件点评：国资委强调加快国资云发展，重点关注央企云龙头,民生证券,2023-04-23,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718732
计算机行业2023Q1持仓分析：AI驱动计算机持仓持续提升,民生证券,2023-04-23,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718731
信息技术产业行业研究：AI+散热，站上新风口,国金证券,2023-04-23,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718697
2023年中国ICT行业词条报告,头豹研究院,2023-04-20,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585636477
AIGC行业深度报告（7）：ChatGPT：三大主线，AI算力需求井喷!,华西证券,2023-04-20,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585630854
AI算力系列之光通信用光芯片：受益流量增长和全球份额提升,天风证券,2023-04-20,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585607339
计算机行业事件点评：超算互联网，算力发展的新型举国体制,民生证券,2023-04-18,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585535337
计算机-密码安全行业专题报告：密码行业空间广阔，国内市场百花齐放,西南证券,2023-04-18,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585530424
计算机行业周观点：商用密码新规审议通过，《广东省数据条例》即将出台,万联证券,2023-04-17,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585494519
