研报名称,机构名称,发布时间,行业,研报地址
数据研究·科技专题：AI产业人士看大模型发展趋势,天风证券,2023-07-04,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307041592030187
计算机行业点评报告：我们为什么仍然要关注信创？,浙商证券,2023-07-04,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307041592017579
计算机行业研究周报：AI大模型助力医疗信息化创新应用涌现,申港证券,2023-07-04,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307041592016353
计算机行业周观点：多个大模型产品发布，AI行业应用加速落地,万联证券,2023-07-04,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307041592015763
计算机行业周报：2023世界人工智能大会前瞻,安信证券,2023-07-03,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591994957
计算机行业周报：中报业绩披露期临近，关注业绩超预期个股,东莞证券,2023-07-03,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591989250
信息技术产业行业研究：继续看好AI相关底层及应用层投资机会,国金证券,2023-07-03,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591988385
计算机行业周报：关注AI在军工信息化的机会,开源证券,2023-07-03,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591987265
海外06月周报：世界人工智能大会在即，关注大模型生态演进,国联证券,2023-07-03,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591986596
计算机行业动态报告：卫星互联网或孕育天上“华为”机遇,民生证券,2023-07-03,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591986037
