研报名称,机构名称,发布时间,行业,研报地址
新消费周观点：Q2市场更加关注业绩，关注高景气度消费赛道投资机会,信达证券,2023-05-14 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623793
商业贸易行业深度报告：看好跨境电商行业，低基数下业绩反弹，AI驱动下降本增效,东方证券,2023-05-10 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586439101
商贸零售：美容护理双周刊：以学术赋能品牌，内外资龙头持续布局,信达证券,2023-05-08 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348663
商业贸易行业专题研究：美护珠宝财报总结：医美23Q1强复苏，美妆关注618大促,国联证券,2023-05-06 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586331246
2023年一季度贸易行业运行分析,联合资信,2023-05-04 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264625
零售行业周报：海外消费降级趋势延续，持续看好泛品类跨境电商业绩修复,财通证券,2023-04-24 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585734753
商贸零售行业周报：3月社零同比+10.6%，关注黄金珠宝、医美机构复苏,开源证券,2023-04-23 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585724709
零售行业周报：加息放缓预期加强，关注出口结构性机会,财通证券,2023-04-17 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585492725
零售行业周报：业绩兑现在即，持续看好板块估值修复,财通证券,2023-04-10 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585243177
东兴商社：一季度前瞻，线下复苏较好，可选呈现分化,东兴证券,2023-04-06 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304061585177499
化妆品专题系列十一：彩妆行业专题品效升级再争艳，美韵东方国风起,国信证券,2023-03-30 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303301584687598
AIGC动态跟踪系列点评：AIGC多模态发展，电商落地场景受益,东方证券,2023-03-24 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303241584528026
商贸零售行业专题研究：万达商管：依托万达集团，加速第三方拓展，龙头地位持续强化,天风证券,2023-03-21 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303211584444259
商业贸易：市内免税店深度全解：政策，规模，市场要素多维度剖析,东吴证券,2023-03-14 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303141584240542
商贸零售行业2023年3月投资策略：消费回暖趋势明确，三八大促有望助力美妆品牌复苏,国信证券,2023-02-28 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302281583858673
商贸零售12月社零数据点评：12月社零环比改善，消费恢复明显,财通证券,2023-01-18 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301181582115582
消费品零售行业：2022年全年社消规模基本保持稳定，较上年同期微降0.2%,中国银河,2023-01-18 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301181582108414
互联网电商行业点评报告：爱奇艺限制“投屏”引发关注,浙商证券,2023-01-16 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301161582031438
2022年度贸易行业研究及信用风险展望,联合资信,2023-01-11 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301111581866525
互联网电商行业点评报告：微信公开课2023公布视频号数据情况，利好腾讯,浙商证券,2023-01-11 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301111581862828
互联网电商行业点评报告：蚂蚁消金增资获批，利好阿里、腾讯,浙商证券,2023-01-06 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301061581745348
互联网电商行业点评报告：视频号收取技术服务费，商业化提速,浙商证券,2023-01-05 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301051581715083
商贸零售行业周报：“人、货、场”演进升级，关注优质零售渠道和品牌,开源证券,2023-01-02 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202212311581583641
商贸零售行业投资策略月报：线下零售投资策略报告,财通证券,2022-12-13 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202212131581040244
可选消费双周报：周专题—爱茉莉—韩国化妆品龙头,东海证券,2022-11-29 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211291580646428
商贸零售行业跟踪周报：伯克希尔哈撒韦增持日本五大商社，关注国内商社龙头的整合&成长空间,东吴证券,2022-11-28 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211281580632529
民生商社：行业专题研究：离焦镜临床实验数据面面观,民生证券,2022-11-23 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211231580511211
消费品零售&化妆品行业周报：关注境外上市公司最新财报业绩表现，维持推荐经营稳定的优质零售标的,中国银河,2022-11-21 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211211580449349
商贸零售：北美渠道Q3跟踪报告-Pro依旧强势，库存出现改善迹象,浙商证券,2022-11-21 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211211580445686
电商系列深度报告：“出海+社区拼团+品牌化+支付”，迎增长和盈利拐点,浙商证券,2022-11-17 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211171580324331
【国元大消费团队】社零月度数据跟踪（10月）,国元证券,2022-11-16 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211161580305007
大消费行业双周报：电子烟消费税落地，政策风险基本出清,国元证券,2022-11-15 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211151580259226
大消费行业专题报告：优化防疫后消费需要多久复苏？,浙商证券,2022-11-15 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211151580257704
主要消费产业行业周报：疫情防控优化，大消费复苏可期,国金证券,2022-11-15 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211151580257455
互联网：站在当前时点，如何看待互联网投资机会？,国海证券,2022-11-15 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211151580257376
商贸零售行业深度分析：宠物食品行业赛点已至，自有品牌建设决定走多远,安信证券,2022-11-10 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211101580139660
主要消费产业行业周报：双十一板块表现分化，大消费性价比凸显,国金证券,2022-11-09 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211091580097053
大消费行业周报：向上势能累积，布局时点渐近,浙商证券,2022-11-07 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211071580011727
商贸零售行业点评报告：双11首日战况出炉，各大平台战况几何，美容护理板块有何投资机会？,东吴证券,2022-11-04 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211041579959436
零售行业：10月行业动态报告-聚焦平台与品牌“双十一”销售成绩单，维持推荐经营稳定的优质消费品零售标的,中国银河,2022-11-04 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211041579948008
减重专题系列二：减脂塑形鹏程万里，非侵入/微创手段潜力可期,德邦证券,2022-10-11 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210111579057667
大消费行业双周报：超头复播，关注直播电商行业边际变化,国元证券,2022-10-09 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210091578994397
折扣消费专题系列一：Temu能否复制拼多多的成功？-以Temu、Wish、SheIn、Shopee对比为例,浙商证券,2022-09-28 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202209281578735540
商贸零售行业周报：8月社零增速超预期，化妆品龙头品牌强者恒强,开源证券,2022-09-20 00:00:00.000,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202209201578532095
