研报名称,机构名称,发布时间,行业,研报地址
新消费周观点：Q2市场更加关注业绩，关注高景气度消费赛道投资机会,信达证券,2023-05-14,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623793
商业贸易行业深度报告：看好跨境电商行业，低基数下业绩反弹，AI驱动下降本增效,东方证券,2023-05-10,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586439101
商贸零售：美容护理双周刊：以学术赋能品牌，内外资龙头持续布局,信达证券,2023-05-08,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348663
商业贸易行业专题研究：美护珠宝财报总结：医美23Q1强复苏，美妆关注618大促,国联证券,2023-05-06,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586331246
2023年一季度贸易行业运行分析,联合资信,2023-05-04,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264625
零售行业周报：海外消费降级趋势延续，持续看好泛品类跨境电商业绩修复,财通证券,2023-04-24,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585734753
商贸零售行业周报：3月社零同比+10.6%，关注黄金珠宝、医美机构复苏,开源证券,2023-04-23,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585724709
零售行业周报：加息放缓预期加强，关注出口结构性机会,财通证券,2023-04-17,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585492725
零售行业周报：业绩兑现在即，持续看好板块估值修复,财通证券,2023-04-10,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585243177
东兴商社：一季度前瞻，线下复苏较好，可选呈现分化,东兴证券,2023-04-06,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304061585177499
化妆品专题系列十一：彩妆行业专题品效升级再争艳，美韵东方国风起,国信证券,2023-03-30,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303301584687598
AIGC动态跟踪系列点评：AIGC多模态发展，电商落地场景受益,东方证券,2023-03-24,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303241584528026
商贸零售行业专题研究：万达商管：依托万达集团，加速第三方拓展，龙头地位持续强化,天风证券,2023-03-21,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303211584444259
商业贸易：市内免税店深度全解：政策，规模，市场要素多维度剖析,东吴证券,2023-03-14,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303141584240542
商贸零售行业2023年3月投资策略：消费回暖趋势明确，三八大促有望助力美妆品牌复苏,国信证券,2023-02-28,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302281583858673
商贸零售12月社零数据点评：12月社零环比改善，消费恢复明显,财通证券,2023-01-18,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301181582115582
消费品零售行业：2022年全年社消规模基本保持稳定，较上年同期微降0.2%,中国银河,2023-01-18,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301181582108414
互联网电商行业点评报告：爱奇艺限制“投屏”引发关注,浙商证券,2023-01-16,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301161582031438
2022年度贸易行业研究及信用风险展望,联合资信,2023-01-11,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301111581866525
互联网电商行业点评报告：微信公开课2023公布视频号数据情况，利好腾讯,浙商证券,2023-01-11,贸易行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301111581862828
