研报名称,机构名称,发布时间,行业,研报地址
计算机行业周观点：科大讯飞发布星火认知大模型，政治局会议强调通用人工智能,万联证券,2023-05-09 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388344
人工智能行业周报,浙商证券,2023-05-08 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348703
计算机行业周报：讯飞大模型与产品发布，产品力与变现能力优异；再次强调支付行业全年投资机会,华安证券,2023-05-07 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347020
人工智能行业点评：微软FY23Q3财报业绩超预期，AI+产品深度融合，持续看好AI产业趋势,国信证券,2023-04-29 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304291586121756
中国敏捷开发行业研究报告,艾瑞股份,2023-04-28 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586042371
计算机行业深度报告：GPT 5后NLP大模型逐步走向收敛，ASIC将大有可为,国信证券,2023-04-28 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586038892
计算机行业周报：23Q1计算机板块基金持仓复盘,安信证券,2023-04-24 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733015
计算机行业点评：GPT赋能保险IT，助力险商开源节流逻辑逐步验证,天风证券,2023-04-24 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732554
软件开发：数据要素行业双周报（四）,浙商证券,2023-04-24 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585730260
AIGC行业研究框架与投资逻辑,华安证券,2023-04-21 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585669572
