研报名称,机构名称,发布时间,行业,研报地址
计算机行业研究：华为完成全球88家子公司MetaERP切换，重视ERP国产替代,国金证券,2023-05-23,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305231587090497
AI浪潮下一站：具身智能,东吴证券,2023-05-23,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305231587087727
战略科技（计算机）行业周报：贵州数博会将至，多文件支持数据要素+AI发展,华安证券,2023-05-21,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305211587036347
计算机行业周报：北京就促进通用人工智能发展若干措施征集意见,东莞证券,2023-05-21,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305211587035739
2023年工业软件系列：CAX助力工业4.0转型（摘要版）,头豹研究院,2023-05-18,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586805804
海外行业动态研究：谷歌发布新模型PaLM2，推进搜索、办公等场景全面落地，期待移动端AIGC生态的发展,国海证券,2023-05-18,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586740866
TMT行业事件点评：北京就促进通用人工智能发展若干措施征集意见,东莞证券,2023-05-16,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586678991
计算机周报：数据要素交易赛道凸显，关注卡位厂商,中银证券,2023-05-15,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586647774
计算机行业动态报告：电力AI，被低估的重要方向,民生证券,2023-05-15,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633871
计算机行业周报：谷歌I/O大会、AI虚拟人、向量数据库浅析,安信证券,2023-05-15,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633268
计算机每周一谈：Google举办2023开发者大会 全方位向生成式AI演进,申港证券,2023-05-15,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632431
数据要素行业双周报第五期：政策催化持续加速，东风已至整装待发,浙商证券,2023-05-15,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625297
