研报名称,机构名称,发布时间,行业,研报地址
银行业2023年4月金融数据点评：信贷投放节奏放缓，居民贷款需求回落,东莞证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586643126
银行行业研究周报：4月金融数据点评-信贷结构失衡,申港证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633889
兼论银行中特估的持续性：半年度策略：经济小修复，银行大重估,浙商证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632440
银行行业点评：存款定价持续下行，关注高股息资产配置价值,平安证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632415
银行业周观点：4月信贷和社融表现相对偏弱,东方证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632319
银行业周报：两类存款自律上限下调，4月信贷投放节奏放缓,东莞证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632289
银行：4月社融点评：信贷投放节奏趋缓，居民需求走弱,天风证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625243
2023年4月银行理财市场月报：银行理财市场月度情报要闻,华宝证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625128
上市银行22年报&23一季报业绩综述：基本面拐点已至,财通证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586624985
银行4月金融数据点评：经济弱复苏下的正常信贷回落,财通证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586624984
银行行业周报：4月信贷平稳；通知和协定存款利率上限下调,华西证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586624223
银行行业事项点评：4月社融不及预期，短板仍在居民端,信达证券,2023-05-15,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623800
银行行业月报：企业中长期贷款的投放保持稳健,万联证券,2023-05-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526531
银行行业4月金融数据点评：社融、信贷低预期，降息预期强化,中银证券,2023-05-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526422
银行业2022年年报暨2023年一季报业绩综述：Q1业绩筑底，看好修复行情,东莞证券,2023-05-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526094
银行4月社融数据点评：社融增速持平，居民储蓄回落,民生证券,2023-05-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526083
银行角度看4月社融：企业需求是核心因素,中泰证券,2023-05-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526082
银行4月金融数据点评：资金小幅活化，居民部门略弱,浙商证券,2023-05-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526075
银行：测算｜协定存款上限调整点评与展望：自律机制与基准利率,中泰证券,2023-05-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526054
银行行业点评报告：4月金融数据点评-4月金融数据缘何不及预期,东吴证券,2023-05-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586505098
银行行业点评：信贷需求偏弱，居民投资意愿或有改善,国联证券,2023-05-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586504824
银行：4月信贷基本平稳，居民融资需求转弱,华西证券,2023-05-11,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586505139
银行业2023年5月投资策略：继续看好低估值下的修复机会,国信证券,2023-05-11,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586490265
银行板块与高股息策略：稳定收益的溢价,中泰证券,2023-05-10,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586444825
银行业双周报：上市行一季度业绩有望见底,湘财证券,2023-05-10,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441965
银行业2023年5月月报：业绩低点已过，定价预期改善,财信证券,2023-05-09,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586405014
理财月报：财富管理市场修复具有较强确定性,国联证券,2023-05-08,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586381010
银行业主题周报：行业净息差或已过低点,东海证券,2023-05-08,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586363219
上市银行2022&23Q1财报综述：基本面见底，重估进行时,民生证券,2023-05-08,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586362541
银行业周报：节后银行板块表现亮眼，“中特估”行情继续演绎,东莞证券,2023-05-08,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586360599
上市银行1季报综述：营收表现略超预期，资产质量保持稳健,东方证券,2023-05-08,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358230
银行行业专题研究：息差或已见底，静待未来全面改善,国联证券,2023-05-08,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586357338
中国银行行业：银行上涨的逻辑梳理,海通国际,2023-05-08,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586357216
