研报名称,机构名称,发布时间,行业,研报地址
银行行业点评报告：信贷边际回暖，优质银行修复可期,开源证券,2023-07-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307121592205041
6月金融数据点评：周期底部叠加政策发力，持续看多银行,中银证券,2023-07-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307121592204068
银行业6月金融数据点评：信贷总量和结构双优,安信证券,2023-07-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307121592203958
银行6月金融数据点评：居民贷款超预期,浙商证券,2023-07-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307121592199919
银行：6月社融改善较为明显,国联证券,2023-07-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307121592199490
银行：6月金融数据点评-信贷 总量和结构双优,安信证券,2023-07-12,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307111592188332
银行：六月信贷超预期，居民部门信贷需求边际回升,华西证券,2023-07-11,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307111592188293
银行业点评：稳地产政策再开启，首发政策强化保交楼融资,中银证券,2023-07-11,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307111592169218
银行行业研究周报：公募基金费率改革将推动行业高质量发展,申港证券,2023-07-10,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592136508
银行行业主题周报：美国银行业息差复盘：低利率环境中息差保持韧性,东海证券,2023-07-10,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592130719
银行业周报：央行发布《中央银行存款账户管理办法》，规范存款账户服务和管理,东莞证券,2023-07-10,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592129735
银行业2023年7月月报：负债成本下行，看好修复行情,财信证券,2023-07-10,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592128026
银行行业深度：绝对收益空间凸显，价值重估或可期,财信证券,2023-07-10,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592128025
银行更新报告：银行的分红率会下降吗？,浙商证券,2023-07-10,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592124244
银行行业周报：银行美元存款利率下调；关注6月信贷表现,华西证券,2023-07-10,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592122678
基于不同情景假设的分析：银行对城投敞口的规模与影响,国信证券,2023-07-07,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307071592080539
银行行业2023年中期投资策略报告：基本面触底，配置价值凸显,东兴证券,2023-07-06,银行,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307061592076277
