研报名称,机构名称,发布时间,行业,研报地址
证券行业2022年报&2023年一季报综述：业绩拐点确定，看好细分龙头与“中特估”行情下的国资券商,中邮证券,2023-05-11 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586496432
保险行业1Q23季报综述：队伍量稳谋质增，资负共振迎双击,东方证券,2023-05-10 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441976
保险2023一季报综述：资负两端高弹性修复，寿险行业有望迎来趋势性好转，驱动估值中枢提升,财通证券,2023-05-10 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586437416
保险：关注负债端的持续改善-FYP与NBVM共振，NBV拐点或已出现,山西证券,2023-05-09 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586409467
保险资产管理业创新型产品1季度观察与展望：业务增速有所放缓、产品更加多元，房地产和基础设施领域主基调不变,中诚信国际,2023-05-09 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388373
非银行金融行业跟踪：“中特估”行情中，建议继续关注高股息低估值的保险板块,东兴证券,2023-05-09 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388309
行业概览_2023年中国宠物保险行业专题报告：“毛孩子医保”一片蓝海（摘要版）,头豹研究院,2023-05-08 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586379069
上市险企2023年一季报综述：上市险企一季报超预期，重申保险板块年度机会,开源证券,2023-05-08 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352469
保险Ⅱ行业点评报告：负债端复苏力度决定反弹高度，信心比黄金更珍贵,东吴证券,2023-05-05 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586276768
保险行业2023Q1季报综述：越过拐点，走向新周期,浙商证券,2023-05-05 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268229
非银金融23Q1公募基金保有量点评：赎回潮已过，蚂蚁、天天主导第三方渠道份额增长,天风证券,2023-05-04 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268054
保险业季度观察报（2023年第1期）,联合资信,2023-05-04 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264626
保险行业2023年一季报综述：资负共振、业绩验真，待估值修复,平安证券,2023-04-28 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586035205
上市险企负债成本调整研究深度报告：负债成本下降长短期均利好保险行业，中期影响有限,开源证券,2023-04-24 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585764142
保险Ⅱ3月保费数据点评：寿险增速势头良好，财险高景气延续,华西证券,2023-04-24 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585743571
保险Ⅱ行业深度报告：寿险定价利率调整：回顾、分析与展望,东吴证券,2023-04-21 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585678186
保险行业险资配置系列报告(二)：资负双轮驱动，防范化解利差损风险,平安证券,2023-04-20 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585603596
2023年3月保费点评报告：产寿延续快增,浙商证券,2023-04-19 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585562929
上市保险公司2022年年报综述：守得云开见月明,东吴证券,2023-04-19 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585562797
上市保险公司3月保费收入数据点评：数据验证Q1供需改善，趋势延续Q2有望超预期,开源证券,2023-04-18 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585534062
主要上市险企3月保费点评：拐点逐步来临，重视负债端反转下的板块机会,信达证券,2023-04-18 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585531363
新金融工具、保险合同准则深度解析报告：不影响保险业务实质，利于筛选优质险企,开源证券,2023-04-17 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585494036
上市险企23Q1保费追踪：寿财险高景气延续，Q1资负两端向好业绩有望高增，Q2改善趋势预计将持续,财通证券,2023-04-17 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585490418
保险：I9&I17解读：基于财务报表探讨新会计准则的变化与影响,海通国际,2023-04-13 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304131585420353
中国人身险行业展望,中诚信国际,2023-04-12 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304121585347496
保险2022年报综述及2023Q1前瞻：寿险底部企稳复苏可期，财险盈利高增,财通证券,2023-04-11 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304111585278308
保险行业2022年报回顾与展望：22年资负两端触底，看好23年复苏向上,海通国际,2023-04-10 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585250425
保险行业2022年年报综述：寿险筑底、产险向好，关注23Q1业绩修复,平安证券,2023-04-10 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585248006
上市险企2022年报综述：改革成效逐步印证，轻装上阵前景可期,东方证券,2023-04-10 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585247931
保险行业2022年报综述：寿险承压探底，财产险高景气,浙商证券,2023-04-07 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304071585211650
保险行业深度报告：上市险企2022年报综述暨一季报前瞻：寿险供需有望接力改善，Q1NBV同比或超市场预期,开源证券,2023-04-06 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304061585186717
2022投连险年度报告,华宝证券,2023-04-03 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304031585029689
保险Ⅱ：银保监会开展“负债成本、评估利率”相关调研点评-监管对长期利差损担忧上升，普通型人身险评估利率可能会下调，预计对销售端影响有限,财通证券,2023-03-27 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303271584565702
保险行业1月月报：春节假期干扰险企展业节奏，预计2月起将迎来反弹,海通国际,2023-03-24 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303241584528065
保险Ⅱ行业点评报告：监管组织协会以及人身险公司召开座谈会点评-引导降本提质，影响短空长多,东吴证券,2023-03-23 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303231584500403
保险行业2月保费点评：低基数效应下单月保费同比高增，关注负债端的持续复苏,山西证券,2023-03-21 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303211584426401
保险行情大复盘及展望：分子&分母共驱，推升保险行情,浙商证券,2023-03-21 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303211584425201
非银金融行业周报：国内降准VS海外暴雷,信达证券,2023-03-20 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303201584398705
保险Ⅱ2023年2月保费点评报告：保费向上反转超预期,浙商证券,2023-03-20 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303201584397688
上市险企2月保费追踪：年后业务强势复苏，寿产险保费同比高增,财通证券,2023-03-17 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303171584342735
上市保险公司2月保费收入数据点评：负债端筑底复苏趋势明朗，看好全年板块性机会,开源证券,2023-03-17 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303171584342157
非银金融行业事项点评报告：2月保费持续向好，负债端拐点渐行渐近——主要上市险企2月保费点评,信达证券,2023-03-17 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303171584336579
非银金融行业事项点评报告：赴港保险消费需求回升，新单保费有望加速回暖,信达证券,2023-03-17 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303171584336286
保险板块异动点评：添酒回灯重开宴,东吴证券,2023-03-02 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303011583933691
上市险企1月保费数据点评：春节错位拖累新车保费，疫情放开压制开门红需求释放,东吴证券国际经纪,2023-02-28 00:00:00.000,保险,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302281583860756
